охра	ɔ x r ɐ
регистрируясь	rʲ ɪ ɡʲ ɪ s t rʲ i r ʊ j ɪ sʲ
заключайтесь	z ə k lʲ ʉ t͡ɕ æ j tʲ ɪ sʲ
деканаты	d ɨ k ɐ n a t ɨ
добывайся	d ə b ɨ v a j sʲ ə
твой	t v o j
пародируешь	p ə r ɐ dʲ i r ʊ j ɪ ʂ
аллергене	ɐ lʲ ɪ r ɡʲ e nʲ e
сигнализаций	sʲ ɪ ɡ n ə lʲ ɪ z a t͡s ɨ j
усваивать	ʊ s v a ɪ v ə tʲ
процедуру	p r ə t͡s ɨ d u r ʊ
облеплять	ɐ b lʲ ɪ p lʲ æ tʲ
взгромождавши	v z ɡ r ə m ɐ ʐ d a f ʂ ɨ
скелеты	s kʲ ɪ lʲ e t ɨ
отмывайте	ɐ t m ɨ v a j tʲ e
палит	p a lʲ ɪ t
подхваченный	p ɐ t x v a t͡ɕ ɪ nː ɨ j
вознамериваются	v ə z n ɐ mʲ e rʲ ɪ v ə j ʊ t͡s ə
пригревающий	p rʲ ɪ ɡ rʲ ɪ v a j ʉ ɕː ɪ j
бенгальский	bʲ ɪ n ɡ a lʲ s kʲ ɪ j
насытите	n ɐ s ɨ tʲ ɪ tʲ e
отказались	ɐ t k ɐ z a lʲ ɪ sʲ
крову	k r o v ʊ
повертит	p ɐ vʲ e r tʲ ɪ t
уполномоченный	ʊ p ə ɫ n ɐ m o t͡ɕ ɪ nː ɨ j
руконожках	r ʊ k ɐ n o ʂ k ə x
родословными	r ə d ɐ s ɫ o v n ɨ mʲ ɪ
флотский	f ɫ o t͡s kʲ ɪ j
укладчиками	ʊ k ɫ a t͡ɕː ɪ k ə mʲ ɪ
мале	m a lʲ e
намечаем	n ə mʲ ɪ t͡ɕ æ j ɪ m
надавайте	n ə d ɐ v a j tʲ e
ложечек	ɫ o ʐ ɨ t͡ɕ ɪ k
грязнуть	ɡ rʲ a z n ʊ tʲ
баловал	b a ɫ ə v ə ɫ
французе	f r ɐ n t͡s u zʲ e
безматку	bʲ ɪ z m a t k ʊ
баянистку	b ə j ɪ nʲ i s t k ʊ
ведавший	vʲ e d ə f ʂ ɨ j
льда	lʲ d a
заворачивающийся	z ə v ɐ r a t͡ɕ ɪ v ə j ʉ ɕː ɪ j sʲ ə
ветютнями	vʲ ɪ tʲ ʉ tʲ nʲ ə mʲ ɪ
скалишь	s k a lʲ ɪ ʂ
сплавы	s p ɫ a v ɨ
дозволение	d ə z v ɐ lʲ e nʲ ɪ j e
созналось	s ɐ z n a ɫ ə sʲ
предрасположите	p rʲ ɪ d r ə s p ɐ ɫ o ʐ ɨ tʲ e
прилетаю	p rʲ ɪ lʲ ɪ t a j ʊ
груздям	ɡ r ʊ zʲ dʲ a m
размежует	r ə z mʲ ɪ ʐ u j ɪ t
поправишь	p ɐ p r a vʲ ɪ ʂ
принимавшись	p rʲ ɪ nʲ ɪ m a f ʂ ɨ sʲ
откалибровывающую	ɐ t k ə lʲ ɪ b r o v ɨ v ə j ʉ ɕː ʉ j ʊ
скорчилась	s k o r t͡ɕ ɪ ɫ ə sʲ
пролепетавший	p r ə lʲ ɪ pʲ ɪ t a f ʂ ɨ j
струй	s t r u j
разглядишь	r ə z ɡ lʲ ɪ dʲ i ʂ
взяточникам	v zʲ a t ə t͡ɕ nʲ ɪ k ə m
подстрекателем	p ə t͡s s t rʲ ɪ k a tʲ ɪ lʲ ɪ m
беспокоить	bʲ ɪ s p ɐ k o ɪ tʲ
нагрянувший	n ɐ ɡ rʲ a n ʊ f ʂ ɨ j
утончаю	ʊ t ɐ nʲ t͡ɕ æ j ʊ
нацист	n ɐ t͡s ɨ s t
бадей	b ɐ dʲ e j
позавтракаю	p ɐ z a f t r ə k ə j ʊ
отопим	ɐ t o pʲ ɪ m
чайковский	t͡ɕ ɪ j k o f s kʲ ɪ j
фотокарточками	f ə t ɐ k a r t ə t͡ɕ k ə mʲ ɪ
запрягут	z ə p rʲ ɪ ɡ u t
попечениях	p ə pʲ ɪ t͡ɕ e nʲ ɪ j ə x
пейджер	p ɛ j d͡ʐ ʐ ɨ r
сохраняете	s ə x r ɐ nʲ æ j ɪ tʲ e
воздействуют	v ɐ zʲ dʲ e j s t v ʊ j ʊ t
барабанщику	b ə r ɐ b a nʲ ɕː ɪ k ʊ
елям	j e lʲ ə m
провайдеры	p r ɐ v a j d ɨ r ɨ
куркумы	k ʊ r k u m ɨ
адмотделом	a d m ɐ dʲː e ɫ ə m
шайтану	ʂ ɐ j t a n ʊ
кляпами	k lʲ a p ə mʲ ɪ
бляшка	b lʲ a ʂ k ə
операция	ɐ pʲ ɪ r a t͡s ɨ j ə
срастусь	s r ɐ s t u sʲ
шпионке	ʂ pʲ ɪ o n kʲ e
сорняком	s ə r nʲ ɪ k o m
продиравши	p r ə dʲ ɪ r a f ʂ ɨ
акцепторы	ɐ k t͡s ɛ p t ə r ɨ
приглядывавшийся	p rʲ ɪ ɡ lʲ a d ɨ v ə f ʂ ɨ j sʲ ə
плешь	p lʲ e ʂ
файликах	f a j lʲ ɪ k ə x
марева	m a rʲ ɪ v ə
уповать	ʊ p ɐ v a tʲ
необязательно	nʲ ɪ ə bʲ ɪ z a tʲ ɪ lʲ n ə
решавши	rʲ ɪ ʂ a f ʂ ɨ
показываясь	p ɐ k a z ɨ v ə j ɪ sʲ
венчания	vʲ ɪ nʲ t͡ɕ æ nʲ ɪ j ə
почти	p ɐ t͡ɕ tʲ i
окрылили	ɐ k r ɨ lʲ i lʲ ɪ
русифицируешься	r ʊ sʲ ɪ fʲ ɪ t͡s ɨ r ʊ j ɪ ʂ sʲ ə
приостанавливающийся	p rʲ ɪ ə s t ɐ n a v lʲ ɪ v ə j ʉ ɕː ɪ j sʲ ə
облупливаются	ɐ b ɫ u p lʲ ɪ v ə j ʊ t͡s ə
подпрыгну	p ɐ t p r ɨ ɡ n ʊ
литовцах	lʲ ɪ t o f t͡s ə x
набираем	n ə bʲ ɪ r a j ɪ m
замяло	z ɐ mʲ a ɫ ə
накалялась	n ə k ɐ lʲ a ɫ ə sʲ
просияло	p r ə sʲ ɪ j a ɫ ə
нарушится	n ɐ r u ʂ ɨ t͡s ə
синкансэном	sʲ ɪ n k ɐ n s ɛ n ə m
полиграфиях	p ə lʲ ɪ ɡ r a fʲ ɪ j ə x
вензаболеваний	vʲ e n z ə b ə lʲ ɪ v a nʲ ɪ j
увещавший	ʊ vʲ ɪ ɕː a f ʂ ɨ j
сложившись	s ɫ ɐ ʐ ɨ f ʂ ɨ sʲ
послушался	p ɐ s ɫ u ʂ ə ɫ s ⁽ʲ ⁾ ə
урочат	ʊ r o t͡ɕ ə t
приглядываем	p rʲ ɪ ɡ lʲ a d ɨ v ə j ɪ m
абецадло	ɐ b ɨ t͡s a d ɫ ə
эвтаназиями	ɪ f t ɐ n a zʲ ɪ j ə mʲ ɪ
помазанников	p ɐ m a z ə nʲː ɪ k ə f
убиенному	ʊ bʲ ɪ j e nː ə m ʊ
кебабах	kʲ ɪ b a b ə x
упроси	ʊ p r ɐ sʲ i
волчицам	v ɐ ɫ t͡ɕ i t͡s ə m
тапочек	t a p ə t͡ɕ ɪ k
смутили	s m ʊ tʲ i lʲ ɪ
ошибётесь	ɐ ʂ ɨ bʲ ɵ tʲ ɪ sʲ
закроет	z ɐ k r o j ɪ t
помидорами	p ə mʲ ɪ d o r ə mʲ ɪ
понимаетесь	p ə nʲ ɪ m a j ɪ tʲ ɪ sʲ
артистка	ɐ r tʲ i s t k ə
вжимаемся	v ʐ ɨ m a j ɪ m sʲ ə
просматриваете	p r ɐ s m a t rʲ ɪ v ə j ɪ tʲ e
вертишейке	vʲ ɪ r tʲ ɪ ʂ ɛ j kʲ e
долготе	d ə ɫ ɡ ɐ tʲ e
донах	d o n ə x
черемшах	t͡ɕ ɪ rʲ ɪ m ʂ a x
управляетесь	ʊ p r ɐ v lʲ æ j ɪ tʲ ɪ sʲ
добыть	d ɐ b ɨ tʲ
отмашу	ɐ t m ɐ ʂ u
суахили	s ʊ ɐ xʲ i lʲ ɪ
сотри	s ɐ t rʲ i
взвешивавши	v z vʲ e ʂ ɨ v ə f ʂ ɨ
добивается	d ə bʲ ɪ v a j ɪ t͡s ə
выметаю	v ɨ mʲ ɪ t a j ʊ
касайтесь	k ɐ s a j tʲ ɪ sʲ
подготовляйте	p ə d ɡ ə t ɐ v lʲ æ j tʲ e
пропитаниях	p r ə pʲ ɪ t a nʲ ɪ j ə x
затворявшийся	z ə t v ɐ rʲ a f ʂ ɨ j sʲ ə
зарегистрируюсь	z ə rʲ ɪ ɡʲ ɪ s t rʲ i r ʊ j ʉ sʲ
синтеза	sʲ i n t ɨ z ə
сдвинутся	z d vʲ i n ʊ t͡s ə
пьянствовало	p ⁽ʲ ⁾ j a n s t v ə v ə ɫ ə
омрачав	ɐ m r ɐ t͡ɕ a f
толстячку	t ə ɫ s ⁽ʲ ⁾ tʲ ɪ t͡ɕ k u
озари	ɐ z ɐ rʲ i
высевок	v ɨ sʲ ɪ v ə k
любовником	lʲ ʊ b o v nʲ ɪ k ə m
грузанёте	ɡ r ʊ z ɐ nʲ ɵ tʲ e
силаче	sʲ ɪ ɫ ɐ t͡ɕ e
субъективностью	s ʊ b j ɪ k tʲ i v n ə sʲ tʲ j ʊ
складен	s k ɫ a dʲ ɪ n
отпугивало	ɐ t p u ɡʲ ɪ v ə ɫ ə
дизентериею	dʲ ɪ zʲ ɪ nʲ tʲ ɪ rʲ i j ɪ j ʊ
расхищав	r ə s xʲ ɪ ɕː a f
нажрёмся	n ɐ ʐ rʲ ɵ m sʲ ə
огорчав	ɐ ɡ ɐ r t͡ɕ a f
единайсет	ɛ d i n a j s ɛ t
движа	d v i ʒ ə
братле	b r ɐ t lʲ ɛ
дърва	d ə r v a
взривен	v z r i v ɛ n
лютив	lʲ u̟ t i f
седеф	s ɛ d ɛ f
зноен	z n ɔ ɛ n
наведе	n ɐ v ɛ d ɛ
магнетофон	m ə ɡ n ɛ t o f ɔ n
преда	p r ɛ d ɤ
плуг	p ɫ u k
възнасям	v ə z n a sʲ ə m
балкон	b ɐ ɫ k ɔ n
легион	lʲ ɛ ɡʲ i ɔ n
съблазнявам	s ə b ɫ ɐ z nʲ a̟ v ə m
тъкмо	t ɤ k m o
възлизалият	v ə z lʲ i z ə lʲ i j ə t
струва	s t r u v a
мегалитър	m ɛ ɡ ɐ lʲ i t ə r
тетрев	t ɛ t r ɛ f
мряхме	m rʲ a̟ x m ɛ
тръпчив	t r ə p t͡ʃ i f
узаконявало	ʊ z ə k o nʲ a̟ v ə ɫ o
румънец	r u m ɤ n ɛ t͡s
правя	p r a vʲ ə
че	t͡ʃ e
въстание	v ə s t a n i ɛ
жидък	ʒ i d ə k
села	s ɛ ɫ a
печален	p ɛ t͡ʃ a̟ lʲ ɛ n
груб	ɡ r u p
мощ	m ɔ ʃ t
домете	d o m ɛ t ɛ
стадион	s t ə d i ɔ n
мазен	m a z ɛ n
пасохме	p a s o x m ɛ
съединител	s ə ɛ d i n i t ɛ ɫ
щем	ʃ t ɛ m
население	n ə s ɛ lʲ ɛ n i ɛ
албатрос	ə ɫ b ɐ t r ɔ s
възхищение	v ə s xʲ i ʃ t ɛ n i ɛ
дайка	d a j k ə
пиво	p i v o
нежен	n ɛ ʒ e n
девойка	d ɛ v ɔ j k ə
улица	u lʲ i t͡s ə
нар	n a r
гигантски	ɡʲ i ɡ a n t s kʲ i
резба	r ɛ z b a
течение	t ɛ t͡ʃ e n i ɛ
противен	p r o t i v ɛ n
необходим	n ɛ o p x o d i m
щиглец	ʃ t i ɡ lʲ ɛ t͡s
измъкна	i z m ɤ k n ə
близък	b lʲ i z ə k
пренасям	p r ɛ n a sʲ ə m
мозък	m ɔ z ə k
чвор	t͡ʃ v ɔ r
павилион	p ə v i lʲ i ɔ n
агробиолог	a ɡ r o b i o ɫ ɔ k
нашето	n a ʃ e t o
декалитър	d ɛ k ɐ lʲ i t ə r
напластяване	n ə p ɫ ɐ s tʲ a̟ v ə n ɛ
завинаги	z ɐ v i n ə ɡʲ i
израстък	i z r a s t ə k
очилат	o t͡ʃ i ɫ a t
перилен	p ɛ r i lʲ ɛ n
аерогара	a ɛ r o ɡ a r ə
поради	p o r ɐ d i
аллах	ɐ ɫ ɫ a x
лопатар	ɫ o p ɐ t a r
строй	s t r ɔ j
началник	n ɐ t͡ʃ a̟ ɫ n i k
яд	j a̟ t
порядък	p o rʲ a̟ d ə k
ляво	lʲ a̟ v o
оцет	o t͡s ɛ t
дрехи	d r ɛ xʲ i
статистичен	s t ə t i s t i t͡ʃ e n
делфин	d ɛ ɫ f i n
блюя	b lʲ ʉ j ə
трезв	t r ɛ s f
ищах	i ʃ t a x
ухапете	u x a p ɛ t ɛ
кресло	k r ɛ s ɫ ɔ
градус	ɡ r a d ʊ s
движение	d v i ʒ e n i ɛ
особняк	o s o b nʲ a̟ k
предприемач	p r ɛ t p r i ɛ m a t͡ʃ
щене	ʃ t ɛ n ɛ
позлата	p o z ɫ a t ə
белоруски	b ɛ ɫ o r u s kʲ i
минус	m i n ʊ s
възкреся	v ə s k r ɛ sʲ ə
юбилей	j ʊ b i lʲ ɛ j
запали	z ɐ p a lʲ i
отвръщам	o t v r ɤ ʃ t ə m
подозра	p o d o z r ɤ
ваксина	v ɐ k s i n ə
тегло	t ɛ ɡ ɫ ɔ
дрозд	d r ɔ s t
разрушавам	r ə z r u ʃ a̟ v ə m
швейцарка	ʃ v ɛ j t͡s a r k ə
измисля	i z m i s lʲ ə
селен	s ɛ lʲ ɛ n
гробище	ɡ r ɔ b i ʃ t ɛ
ономува	o n o m u v ə
нашта	n a ʃ t ə
чивия	t͡ʃ i v i j ə
ходене	x ɔ d ɛ n ɛ
всъщност	f s ɤ ʃ n o s t
гърция	ɡ ɤ r t͡s i j ə
кълва	k ə ɫ v a
матерен	m a t ɛ r ɛ n
кърджалия	k ə r d ʒ a̟ lʲ i j ə
благодаря	b ɫ ə ɡ o d ɐ rʲ ɤ̟
читателка	t͡ʃ i t a t ɛ ɫ k ə
утка	u t k ə
спасявам	s p ɐ sʲ a̟ v ə m
веселие	v ɛ s ɛ lʲ i ɛ
охрид	o x r i t
веднага	v ɛ d n a ɡ ə
прекалявам	p r ɛ k ɐ lʲ a̟ v ə m
канара	k ə n ɐ r a
монголия	m o ŋ ɡ ɔ lʲ i j ə
биолог	b i o ɫ ɔ k
забраня	z ə b r ɐ nʲ ɤ̟
щелия	ʃ t ɛ lʲ i j ə
драгой	d r ɐ ɡ ɔ j
брегове	b r ɛ ɡ o v ɛ
рицар	r i t͡s ə r
нарече	n ɐ r ɛ t͡ʃ e
кръстат	k r ə s t a t
ситен	s i t ɛ n
ярък	j a̟ r ə k
абразия	ɐ b r a z i j ə
личба	lʲ i d͡ʒ b ə
именно	i m ɛ n n o
видра	v i d r ə
низина	n i z i n a
философия	f i ɫ o s ɔ f i j ə
лутеций	ɫ u t ɛ t͡s iː
връв	v r ɤ f
журналист	ʒ ʊ r n ɐ lʲ i s t
козел	k o z ɛ ɫ
спътник	s p ɤ t n i k
галба	ɡ ɐ ɫ b a
поличба	p o lʲ i d͡ʒ b ə
алиби	ɐ lʲ i b i
силиций	s i lʲ i t͡s iː
аз	a s
сеизмичен	s ɛ i z m i t͡ʃ e n
колата	k o ɫ a t ə
узаконявайте	ʊ z ə k o nʲ a̟ v ə j t ɛ
кабинет	k ə b i n ɛ t
загина	z ɐ ɡʲ i n ə
цупя	t͡s u pʲ ə
кротък	k r ɔ t ə k
мощност	m ɔ ʃ n o s t
затворен	z ɐ t v ɔ r ɛ n
сое	s ɔ ɛ
водород	v o d o r ɔ t
чие	t͡ʃ i ɛ
атометър	ə t o m ɛ t ə r
съзра	s ə z r ɤ
раста	r ɐ s t ɤ
сестричка	s ɛ s t r i t͡ʃ k ə
литература	lʲ i t ɛ r ɐ t u r ə
ами	ɐ m i
мафия	m a f i j ə
недоимък	n ɛ d o i m ə k
неодим	n ɛ o d i m
поред	p o r ɛ t
обед	ɔ b ɛ t
велосипед	v ɛ ɫ o s i p ɛ t
инстинкт	i n s t i ŋ k t
решим	r ɛ ʃ i m
каква	k ɐ k v a
мрящата	m rʲ a̟ ʃ t ə t ə
плен	p lʲ ɛ n
хор	x ɔ r
повеляем	p o v ɛ lʲ a̟ ɛ m
кубатура	k ʊ b ɐ t u r ə
разходи	r ɐ s x ɔ d i
бавно	b a v n o
вишна	v i ʃ n ə
нула	n u ɫ a
червеношийка	t͡ʃ e r v ɛ n o ʃ iː k ə
млак	m ɫ a k
узаконявалата	ʊ z ə k o nʲ a̟ v ə ɫ ə t ə
кроме	k r ɔ m ɛ
нахапя	n ɐ x a pʲ ə
скръбав	s k r ɤ b ə f
скръндза	s k r ɤ n d z ə
гневен	ɡ n ɛ v ɛ n
рожба	r ɔ ʒ b ə
противоречив	p r o t i v o r ɛ t͡ʃ i f
цупят	t͡s u pʲ ə t
членувам	t͡ʃ lʲ ɛ n u v ə m
великански	v ɛ lʲ i k a n s kʲ i
конгрес	k o ŋ ɡ r ɛ s
ме	m ɛ
имаш	i m ə ʃ
космополитен	k o s m o p o lʲ i t ɛ n
фотограф	f o t o ɡ r a f
благаш	b ɫ ɐ ɡ a ʃ
въртя	v ə r tʲ ɤ̟
фабрика	f a b r i k ə
абисински	ə b i s i n s kʲ i
супермаркет	s ʊ p ɛ r m a r kʲ ɛ t
слава	s ɫ a v ə
леджа	lʲ ɛ d ʒ ə
любим	lʲ u̟ b i m
социален	s o t͡s i a lʲ ɛ n
ддс	d ɤ d ɤ s ɤ
радиоцентър	r a d i o t͡s ɛ n t ə r
щастлив	ʃ t ɐ s lʲ i f
драгаш	d r ɐ ɡ a ʃ
уплашвам	u p ɫ a ʃ v ə m
жужел	ʒ u̟ ʒ e ɫ
пасящ	p ɐ sʲ a̟ ʃ t
розов	r ɔ z o f
крадла	k r a d ɫ ə
обсъдя	o p s ɤ dʲ ə
ищай	i ʃ t a j
овластителен	o v ɫ ɐ s t i t ɛ lʲ ɛ n
хопам	x ɔ p ə m
предложа	p r ɛ d ɫ ɔ ʒ ə
стихия	s t i xʲ i j ə
югоизток	j ʊ ɡ o i s t o k
шифър	ʃ i f ə r
узаконявах	ʊ z ə k o nʲ a̟ v ə x
североизток	s ɛ v ɛ r o i s t o k
град	ɡ r a t
имала	i m a ɫ ə
спанак	s p ɐ n a k
нещастие	n ɛ ʃ t a s t i ɛ
спорен	s p ɔ r ɛ n
бетонен	b ɛ t ɔ n ɛ n
кания	k ɐ n i j ə
торта	t ɔ r t ə
австралийски	ə f s t r ɐ lʲ iː s kʲ i
мрелият	m r ɛ lʲ i j ə t
киноцентрове	kʲ i n o t͡s ɛ n t r o v ɛ
приятен	p r i j a̟ t ɛ n
имания	i m ə n i j ə
развитие	r ɐ z v i t i ɛ
моля	m ɔ lʲ ə
сивкав	s i f k ə f
мюсюлмански	mʲ ʊ sʲ u̟ ɫ m a n s kʲ i
пръст	p r ɤ s t
прозорче	p r o z ɔ r t͡ʃ e
озаглавявам	o z ə ɡ ɫ ɐ vʲ a̟ v ə m
едновременен	ɛ d n o v r ɛ m ɛ n ɛ n
спогодба	s p o ɡ ɔ d b ə
алчба	a ɫ d͡ʒ b ə
ищца	i ʃ t͡s a
беся	b ɛ sʲ ə
шептя	ʃ e p tʲ ɤ̟
чет	t͡ʃ e t
спичам	s p i t͡ʃ ə m
бъчвар	b ə t͡ʃ v a r
бил	b i ɫ
церий	t͡s ɛ r iː
безпаричен	b ɛ s p ɐ r i t͡ʃ e n
горчив	ɡ o r t͡ʃ i f
варна	v a r n ə
беларус	b ɛ ɫ ɐ r u s
шебой	ʃ e b ɔ j
акумулатор	ə k ʊ m u ɫ a t o r
изопачен	i z o p ɐ t͡ʃ e n
твърд	t v ɤ r t
моя	m ɔ j ə
евакуационен	ɛ v ə k ʊ ə t͡s i ɔ n ɛ n
гемия	ɡʲ ɛ m i j ə
кислород	kʲ i s ɫ o r ɔ t
гръм	ɡ r ɤ m
достатък	d o s t a t ə k
сигурен	s i ɡ ʊ r ɛ n
равен	r a v ɛ n
въжен	v ɤ ʒ e n
редя	r ɛ dʲ a̟
усещам	u s ɛ ʃ t ə m
алчен	a ɫ t͡ʃ e n
възбял	v ə z bʲ a̟ ɫ
между	m ɛ ʒ d u
нивье	n i vʲ ɛ
узаконеният	ʊ z ə k o n ɛ n i j ə t
шестдесет	ʃ e z d ɛ s ɛ t
вея	v ɛ j ə
ала	a ɫ ə
нехая	n ɛ x a j ə
изминавам	i z m i n a v ə m
небесносин	n ɛ b ɛ s n o s i n
число	t͡ʃ i s ɫ ɔ
пристоен	p r i s t ɔ ɛ n
арестувах	a r ɛ s t u v a x
мамут	m ɐ m u t
вълнолюбка	v ə ɫ n o lʲ u̟ p k ə
чутура	t͡ʃ u̟ t ʊ r ə
изучаем	i z u t͡ʃ a̟ ɛ m
обятия	o bʲ a̟ t i j ə
етажерка	ɛ t ɐ ʒ e r k ə
артикулационен	ə r t i k ʊ ɫ ə t͡s i ɔ n ɛ n
селекционен	s ɛ lʲ ɛ k t͡s i ɔ n ɛ n
раздялба	r ɐ z dʲ a̟ ɫ b ə
хомосексуалистка	x ɔ m o s ɛ k s ʊ ɐ lʲ i s k ə
бахар	b ɐ x a r
те	t ɛ
стъпям	s t ɤ pʲ ə m
помпа	p ɔ m p ə
сретя	s r ɛ tʲ ə
гигаметър	ɡʲ i ɡ ɐ m ɛ t ə r
ягодов	j a̟ ɡ o d o f
хубавец	x ʊ b ɐ v ɛ t͡s
бележит	b ɛ lʲ ɛ ʒ i t
седна	s ɛ d n a
ровина	r o v i n ə
немец	n ɛ m ɛ t͡s
помислям	p o m i s lʲ ə m
ласка	ɫ a s k ə
косинус	k ɔ s i n ʊ s
безсмислен	b ɛ s s m i s lʲ ɛ n
авджия	ɐ v d ʒ i j ə
алигатор	ə lʲ i ɡ a t o r
чинка	t͡ʃ i ŋ k ə
иман	i m ə n
информация	i n f o r m a t͡s i j ə
дърво	d ə r v ɔ
величина	v ɛ lʲ i t͡ʃ i n a
къща	k ɤ ʃ t ə
поемам	p o ɛ m ə m
абанос	ə b ɐ n ɔ s
цад	t͡s a t
падало	p a d ə ɫ o
булка	b u ɫ k ə
го	ɡ o
непълен	n ɛ p ɤ lʲ ɛ n
желаещ	ʒ e ɫ a ɛ ʃ t
антре	ɐ n t r ɛ
съзвездие	s ə z v ɛ z d i ɛ
абдоминалния	ə b d o m i n a ɫ n i j ə
туй	t u j
череша	t͡ʃ e r ɛ ʃ ə
леща	lʲ ɛ ʃ t ə
научавам	n ə u t͡ʃ a̟ v ə m
ексалитър	ə t o lʲ i t ə r
ония	o n i j ə
бихте	b i x t ɛ
ютия	j u̟ t i j ə
сирене	s i r ɛ n ɛ
подпиша	p o t p i ʃ ə
бивам	b i v ə m
ревност	r ɛ v n o s t
тези	t ɛ z i
абсолютност	ə p s o lʲ u̟ t n o s t
мрене	m r ɛ n ɛ
допринасям	d o p r i n a sʲ ə m
врабей	v r a b ɛ j
цезий	t͡s ɛ z iː
бяхте	bʲ a̟ x t ɛ
почитаем	p o t͡ʃ i t a ɛ m
козле	k o z lʲ ɛ
навечерие	n ə v ɛ t͡ʃ e r i ɛ
сад	s a t
сочен	s ɔ t͡ʃ e n
арес	a r ɛ s
тимар	t i m a r
възсин	v ə s s i n
шантажирам	ʃ ə n t ɐ ʒ i r ə m
човешки	t͡ʃ o̟ v ɛ ʃ kʲ i
уви	u v i
корите	k o r i t ɛ
опаковчик	o p ɐ k ɔ f t͡ʃ i k
направя	n ɐ p r a vʲ ə
абсолютен	ɐ p s̪ o lʲ u t̪ ɛ n̪
абсорбирания	ə p s o r b i r ə n i j ə
пуст	p u s t
огорча	o ɡ o r t͡ʃ a̟
криптон	k r i p t ɔ n
швеция	ʃ v ɛ t͡s i j ə
анкара	ɐ ŋ k a r ə
танцувам	t ɐ n t͡s u v ə m
труп	t r u p
избягам	i z bʲ a̟ ɡ ə m
петдесет	p ɛ d d ɛ s ɛ t
разгърна	r ɐ z ɡ ɤ r n ə
брош	b r ɔ ʃ
взрив	v z r i f
къжлица	k ə ʒ lʲ i t͡s ə
безразсъден	b ɛ z r ɐ s s ɤ d ɛ n
обвиня	o b v i nʲ ɤ̟
поздрав	p ɔ z d r ə f
браташ	b r ɐ t a ʃ
мързел	m ɤ r z ɛ ɫ
видая	v i d a j ə
отговарям	o d ɡ o v a rʲ ə m
нобелий	n o b ɛ lʲ iː
рига	r i ɡ ə
пасох	p a s o x
тъмнина	t ə m n i n a
стъкленица	s t ə k lʲ ɛ n i t͡s ə
отред	o t r ɛ t
лале	ɫ ɐ lʲ ɛ
исландски	i s ɫ a n t s kʲ i
волан	v o ɫ a n
камшик	k ɐ m ʃ i k
езера	ɛ z ɛ r a
вършея	v ə r ʃ e j ə
алкохолен	ə ɫ k o x ɔ lʲ ɛ n
понеса	p o n ɛ s ɤ
бъбрица	b ə b r i t͡s ə
яденото	j a̟ d ɛ n o t o
свитък	s v i t ə k
страхливец	s t r ɐ x lʲ i v ɛ t͡s
котка	k ɔ t k ə
валог	v a ɫ o k
кисело	kʲ i s ɛ ɫ o
образован	o b r ɐ z ɔ v ə n
калугерица	k ɐ ɫ u ɡʲ ɛ r i t͡s ə
задача	z ɐ d a t͡ʃ ə
ядък	j a̟ d ə k
народен	n ɐ r ɔ d ɛ n
успокоявам	ʊ s p o k o j a̟ v ə m
столова	s t o ɫ ɔ v ə
вино	v i n o
благословия	b ɫ ə ɡ o s ɫ o v i j ə
щедър	ʃ t ɛ d ə r
благ	b ɫ a k
брания	b r a n i j ə
вид	v i t
люксембург	lʲ u̟ k s ɛ m b ʊ r k
именит	i m ɛ n i t
бавя	b a vʲ ə
лоуренсий	ɫ o u r ɛ n s iː
цялост	t͡sʲ a̟ ɫ o s t
допека	d o p ɛ k ɤ
много	m n ɔ ɡ o
ушивам	u ʃ i v ə m
физичен	f i z i t͡ʃ e n
проблема	p r o b lʲ ɛ m ə
празник	p r a z n i k
грузия	ɡ r u z i j ə
дреха	d r ɛ x ə
вадя	v a dʲ ə
онакова	o n ɐ k ɔ v ə
кубоподобен	k ʊ b o p o d ɔ b ɛ n
узаконяващите	ʊ z ə k o nʲ a̟ v ə ʃ t i t ɛ
шофьорка	ʃ o̟ fʲ ɔ r k ə
хващам	x v a ʃ t ə m
традиция	t r ɐ d i t͡s i j ə
почивам	p o t͡ʃ i v a m
онакъв	o n ɐ k ɤ f
лъч	ɫ ɤ t͡ʃ
отдел	o d d ɛ ɫ
устат	u s t a t
позволя	p o z v o lʲ a̟
археолог	ə r xʲ ɛ o ɫ ɔ k
после	p ɔ s lʲ ɛ
забранявам	z ə b r ɐ nʲ a̟ v ə m
от	o̝ t̪
дръвце	d r ə f t͡s ɛ
камък	k a m ə k
поща	p ɔ ʃ t ə
тревога	t r ɛ v ɔ ɡ ə
дали	d a lʲ i
иней	i n ɛ j
кръсточовка	k r ə s t o t͡ʃ ɔ f k ə
късам	k ɤ s ə m
декларация	d ɛ k ɫ ɐ r a t͡s i j ə
грапав	ɡ r a p ə f
изслушам	i s ɫ u ʃ ə m
спасяем	s p ɐ sʲ a̟ ɛ m
пърдя	p ə r dʲ a̟
свободен	s v o b ɔ d ɛ n
нито	n i t o
три	t r i
лют	lʲ u̟ t
таквъз	t ɐ k v ɤ s
осип	ɔ s i p
доверие	d o v ɛ r i ɛ
арама	ɐ r a m ə
правилник	p r a v i ɫ n i k
за	z a
узаконява	ʊ z ə k o nʲ a̟ v ə
индикативен	i n d i k ɐ t i v ɛ n
божи	b ɔ ʒ i
кроя	k r o j ɤ̟
бъдеще	b ɤ d ɛ ʃ t ɛ
кожа	k ɔ ʒ ə
