देवनागरी	d̪eʋnɑɡɑri
लतलती	lʌt̪lʌt̪iː
जटे	d͡ʒʌʈe
झिम्रे	d͡ʒʱimɾe
सोलि	soːli
खप्की	kʰʌpkʰiː
कनकर्नु	kʌnʌkʌɾnu
खानपान	kʰɑːnʌpɑːn
औषधाश्रित	ɔːʂʌd̪ʱɑːʃɾit̪
मथुरा	mʌt̪ʰurɑː
अविचलित	ʌʋit͡ʃʌlit̪
अश्‌लील	ʌʃliːl
प्रसन्न	pɾʌsʌnː
वाच्य	ʋɑːt͡ʃjʌ
निदाउ	nid̪ɑːu
शिरीष	ʃiɾiːʃ
ठेक्‍का	ʈʰekːɑː
रुवाइ	ɾuʋɑːi
उपहारक	upʌɦɑːɾʌk
कन्	kʌn
अनूढा	ʌnuːʈʰɑː
मदिरा	mʌd̪iɾɑː
फुटबल	pʰuʈʰbʌl
अध्ययन	ʌd̪ʱjʌjʌn
जबरा	d͡ʒʌbʌɾɑː
पराग	pʌɾɑːɡ
घण्टी	ɡʱʌɳʈi
अत्यास	ʌt̪jɑːs
माहुर	mɑːɦʊr
कौशेय	kaʊʃeɪ
अमीरी	ʌmiːriː
क्रम	kʌrʌm
लत्ताकपडा	lʌt̪t̪ɑːkʌpʌɖʌ
चल	t͡ʃʌl
रेटाइ	reɪt̪ɑːi
भ्वाँङ्ग	bʱʋɑːŋɡ
चुच्चेनङ्ग्रा	t͡ʃʊt͡ʃt͡ʃeɪnʌŋɡrɑː
धोक्	dʱoːk
खोर्‍याउ	kʰoːrjɑːʊ
कल्पनीय	kʌlpʌniːjʌ
अभिवन्दनीय	ʌbʱiʋʌndʌniːjʌ
अल्पमत	ʌlpʌmʌt̪
दुर्दशा	dʊrdʌdʃɑː
आँच	ɑːnt͡ʃ
रुवाइ	rʊʋɑːi
उद्दण्ड	ʊddʌɳɖ
ज्वालामुखी	d͡ʒʋɑːlɑːmʊkʰiː
अघोषित	ʌɡʱoːʃit̪
अस्पष्टता	ʌspʌʂʈʌt̪ɑː
मुखारी	mʊkʰɑːriː
ठक्रक्क	ʈʰʌkrʌkː
कमर्स	kʌmʌrs
त्रासदी	t̪rɑːsʌdiː
पिनास	pinɑːs
लाग्	lɑːɡ
अतृप्ति	ʌt̪rʌpt̪i
#टकटक्याहा	ʈʌkʈʌkjɑːɦɑː
पटरी	pʌʈriː
कथञ्चित्	kʌt̪ʰʌɲt͡ʃit̪
पाँद्	pɑːnd
बराँठि	bʌrɑːʈʰi
अनुष्ठान	ʌnʊʂʈʰɑːn
पछ्याउ	pʌt͡ʃjɑːʊ
कोबी	kobiː
बुकी	bʊkiː
किड्नी	kid̪niː
बिट	bit̪
होमियोपेथी	ɦomiːjopeɪt̪ʰiː
पाकेट	pɑːkeɪʈ
ओलम्पिक	oːlʌmpik
छ्याप	t͡ʃʰjɑːp
उफर्पाफर	ʊpʰʌrpɑːpʰʌr
पट्ट	pʌʈʈ
झुपुक्क	d͡ʒʰʊpʊkː
कृतसङ्कल्प	krit̪sʌŋkʌlp
लोग्नेमानिस	loːɡneːmɑːnis
बखान्	b ʌ kʰ ɑː n
भिउँट	bʱ i ʌ̃ ʈ
उच्छल	u t͡ʃʰ ʌ l
धर्मशास्त्र	d̪ʱ ʌ r m ʃ ɑː s t̪ r
घराना	ɡʱ ʌ r ɑː n ɑː
वसन्ती	b ʌ s ʌ n t̪ iː
अयौन	ʌ j ɔː n
कलाकौशल	k ʌ l ɑː k ɔː ʃ ʌ l
बार्	b ɑː r
कुटे	k u ʈ e
क्यालेन्डर	k j ɑː l e n ɖ ʌ r
रत्नदास	r ʌ t̪ n ʌ d ɑː s
कार्बनडाइअक्साइड	k ɑː r b ʌ n ɖ ɑː i ʌ k s ɑː i ɖ
साइनो	s ɑː i n o
ढाँड	ɖʱ ɑ̃ ɖ
पक्कै	p ʌ k k ɑː i
लोकराज	l o k ʌ r ɑː d͡ʒ
अरगज्ज	ʌ r ʌ ɡ ʌ d͡ʒ d͡ʒ
घुस	ɡʱ u s
डेटाबेस	ɖ e ʈ ɑː b e s
अलग	ʌ l ʌ ɡ
छपछप	t͡ʃʰ ʌ p t͡ʃʰ ʌ p
हेरविचार	ɦ e r ʌ b i t͡ʃʰ ɑː r
गीतकार	ɡ iː t̪ k ɑː r
धनपति	d̪ʱ ʌ n p ʌ t̪ i
प्यालेष्टाइन	p j ɑː l e ʃ ʈ ɑː i n
उगाउ	u ɡ ɑː u
हार	ɦ ɑː r
दातृसंस्था	d ɑː t̪ r ʌ s ʌ̃ s t̪ʰ ɑː
गोरखनाथ	ɡ o r ʌ kʰ n ɑː t̪ʰ
झिल्स्याइँदो	d͡ʒʱ i l s j ɑː ĩ d o
आलोकनीय	ɑː l o k n iː j
चैं	t͡ʃʰ ɛ̃
तौलिया	t̪ ɔː l i j ɑː
उदारवाद	u d ɑː r b ɑː d
अफिम	ʌ f i m
मुड्की	m u ɖ k i
सामसुम	s ɑː m s u m
तन्नेरी	t̪ ʌ n n e r i
थुप्रो	t̪ʰ u p r o
लचकता	l ʌ t͡ʃʰ ʌ k t̪ ɑː
कुल्चीमिल्ची	k u l t͡ʃʰ iː m i l t͡ʃʰ i
माइक्रोप्रोसेसर	m ɑː i k r o p r o s e s ʌ r
निश्‍वास	n i ʃ w ɑː s
बिक्	b i k
थैली	t̪ʰ ɛː l i
भूतल	bʱ uː t̪ ʌ l
बाख्रापालन	b ɑː kʰ r ɑː p ɑː l ʌ n
डफ्फा	ɖ ʌ f f ɑː
काबिल	k ɑː b i l
अमला	ʌ m ʌ l ʌ
छन्	t͡sʰ ʌ n
क्लीब	k l i: b
खोसेल्	kʰ o s e l
कप्पु	k ʌ p: u
मुरुङमुरुङ	m u r u ŋ m u r u ŋ
झगडा	d͡zʱ ʌ ɡ ʌ d̪ ʌ
नागेश	n ɑ: ɡ e ʃ
मञ्जरी	m ʌ ɲ d͡ʒ ʌ r i:
लक्ष्मीप्रसाद	l ʌ kʃ m i: p r ʌ s ɑ: d
कत्रो	k ʌ t r o
चतुस्सूत्री	t͡sʰ ʌ t u s: u: t r i:
अरुन्धती	ʌ r u n dʱ ʌ t i:
टुलुग्क	ʈ u l u ɡ k
शुद्धाशुद्धि	ʃ u d: ʌ ʃ u d: i
फ्याक्स	pʰ j ɑ: k s
गन्दगी	ɡ ʌ n d ʌ ɡ i:
कृतक	k r ɪ t ʌ k
लँगौटी	l ʌ ŋ ɔ: ʈ i:
दयानिधान	d ʌ j ɑ: n i dʱ ɑ: n
घुन्न	ɡʱ u n: ʌ
धान्	dʱ ɑ: n
नाली	n ɑ: l i:
पार्टी	p ɑ: r ʈ i:
छाउपडी	t͡sʰ ɑ: u p ʌ d i:
चोक्रे	t͡sʰ o k r e
इख	i kʰ
घेरा	ɡʱ e r ʌ
हाक्कहुक्क	ɦ ɑ: k: ʌ ɦ u k: ʌ
कलङ्की	k ʌ l ʌ ŋ k i:
भुत्ला	bʱ u t l ʌ
वनचर	b ʌ n ʌ t͡sʰ ʌ r
कनचिरा	k ʌ n ʌ t͡sʰ i r ɑ:
जग्गाधनी	d͡ʒ ʌ ɡ: ɑ: dʱ ʌ n i:
ठनठन	ʈʰ ʌ n ʈʰ ʌ n
खन्याउ	kʰ ʌ n j ɑ: u
ब्राम्हण	b r ɑ: mʱ ʌ n
राक्षस	r ɑ: kʃ ʌ s
समाह्‍वान	s ʌ m ɑ: ʍ ɑ: n
खुकुलो	kʰ u k u l o
रसि	r ʌ s i
आयातमुण्ड	ɑ: j ɑ: t ʌ m u ɳ ʈ
बाती	b ɑ: t i:
बिल्टो	b i l ʈ o
कान्तिपुर	k ɑ: n t i p u r
भद्रा	bʱ ʌ d r ɑ:
माहुर	m ɑ: ɦ u r
लाथ्रो	l ɑ: ʈʰ r o
रहनसहन	r ʌ ɦ ʌ n s ʌ ɦ ʌ n
बार्	b ɑ: r
भोला	bʱ o l a
रहनसहन	r ʌ ɦ n ʌ s ʌ ɦ n
साध्या	s aː dʱ j aː
हृदय	ɦ ɾ ɪ d ʌ j
सैर	s aɪ r
देवालय	d e ʋ aː l ʌ j
नेट	n eː ʈ
ह्याउ	ɦ j aː u
घेराबन्दी	ɡʱ e r aː b ʌ n d iː
कण	k ʌ ɳ
अपरेटर	ʌ p ʌ r eː ʈ ʌ r
पदमबहादुर	p ʌ d ʌ m ʌ b ʌ ɦ aː d u r
अकलगुम	ʌ k ʌ l ɡ u m
कसरी	k ʌ s ʌ r iː
हरफ	ɦ ʌ r ʌ f
डाइथेन	ɖ aː i ʈʰ e n
बासिन्दा	b aː s i n d aː
शहर	ʃ ʌ ɦ ʌ r
सुइँकुच्चा	s u ĩ k u t͡ʃ t͡ʃ aː
रेलिङ	r eː l i ŋ
हलुवाबेत	ɦ ʌ l u ʋ aː b e t
बिगौती	b i ɡ aː u t iː
डाइनी	ɖ aː i n iː
असर	ʌ s ʌ r
अभिमत	ʌ b ɦ i m ʌ t
अनिच्छा	ʌ n i t͡ʃ t͡ʃ aː
चेप्टे	t͡ʃ e p ʈ eː
तिर्सना	t i r s n aː
इमारत	i m aː r ʌ t
ख्यात	kʰ j aː t
किर्नु	k i r n u
विबाह	ʋ i b aː ɦ
कल्याण	k ʌ l j aː ɳ
झाङ	d͡zʱ aː ŋ
सर्ट	s ʌ r ʈ
दहिलो	d ʌ ɦ i l o
आत्था	aː tʰ tʰ aː
आतङ्कवादी	aː t ʌ ŋ k ʌ ʋ aː d iː
नोकरशाह	n o k ʌ r ʃ aː ɦ
सिक्री	s i k r iː
नशा	n ʌ ʃ aː
गृहस्थ	ɡ ɾ ɪ ɦ s tʰ
गोल्याउ	ɡ o l j aː u
जर्फर	d͡z ʌ r f ʌ r
अयोगात्मक	ʌ j o ɡ aː t m ʌ k
ढुकढुकी	ɖʱ u k ɖʱ u k iː
विशालबजार	ʋ i ʃ aː l b ʌ d͡z aː r
दरखार	d ʌ r kʰ aː r
लुँदो	l ũ d o
नाजी	n aː d͡z iː
रुद्री	r u d r i
केबल	k e b ə l
डिट्ठा	ɖ i ʈʰ ɑ
जाडे	ʤ ɑː ɖ e
मोटक	m o ʈ k
कलाकौशल	k ə l ɑː k ɔ ʃ ə l
लठैत	l ʌ ʈʰ ɛ t
झट्टै	ʤʰ ʌ ʈ ʈ ɛ
खैराँत	kʰ ɛ r ɑː n t
आयुर्वेदीय	ɑː j u r v e d iː j
कार्यकक्ष	k ɑː r j ə k ə kʃ
काँइयो	k ɑː n i j o
महबुब	m ə h ə b u b
गर्भघाती	g ə r bʰ gʰ ɑː t iː
थपाइ	ʈʰ ə p ɑː i
भोजपुर	bʰ o ʤ ə p u r
सायुज्य	s ɑː j u ʤ j ə
ढिस्को	ɖʱ i s k o
ज्ञानवर्णीय	ʤ ɲ ɑː n ə v ə r ɳ iː j
आल्मारी	ɑː l m ɑː r iː
जगदम्बा	ʤ ə g ə d ə m b ɑː
अप्रेशन	ə p r e ʃ ə n
भूमण्डल	bʰ uː m ə n ɖ ə l
काषाय	k ɑː ʃ ɑː j
धान्	dʱ ɑː n
च्याँसे	tʃ j ɑː n s e
हाइसुख्ख	h ɑː i s u kʰ kʰ
इनामेल	i n ɑː m e l
घरपरिवार	gʰ ə r p ə r i v ɑː r
असबल्ले	ə s ə b ə l l e
बिगो	b i g o
घोलुवा	gʰ o l u v ɑː
जर्क	ʤ ə r k
अकथनिय	ə k ə ʈʰ ə n i j
आकाङ्क्षी	ɑː k ɑː ŋ k ʃ iː
अझ	ə ʤʰ
कोटिनाम	k o ʈ i n ɑː m
कप्ल्याककुप्लुक्क	k ə p l j ɑː k ə k u p l u k k
इच्छापत्र	i tʃʰ ɑː p ə t r
कोपर्	k o p ə r
सत्याल	s ə t j ɑː l
उन्नायक	u n n ɑː j ə k
झर्को	ʤʰ ə r k o
आपत्ति	ɑː p ə t t i
चहार	tʃ ə h ɑː r
गुणात्मक	g u ɳ ɑː t m ə k
थैली	ʈʰ ɛ l iː
प्राचीन	p r ɑː tʃ iː n
टुकटुकती	ʈ u k ʈ u k ə t iː
भड्खालो	bʰ ə ɖ kʰ ɑː l o
गतिमान	g ʌ t i m ɑː n
धिक्कार	d̪ʱ i kː ɑː r
उतार	u t ɑː r
लडाक	l ʌ d̪ ɑː k
पपअप	p ʌ p ʌ p
ताउली	t ɑː u l i
उडालु	u ɖ ɑː l u
इख	i kʰ
महिना	m ʌ ɦ i n ɑː
बैल	b ɑː i l
दुर्गादास	d̪ u r g ɑː d̪ ɑː s
गन्दगी	g ʌ n d̪ ʌ g i
अनरसा	ʌ n ʌ r ʌ s ɑː
ज्वलित	d͡ʒ w ʌ l i t̪
जलुवा	d͡ʒ ʌ l u w ɑː
सम्भ्रम	s ʌ m bʱ r ʌ m
तर्स	t ʌ r s
सुबानी	s u b ɑː n i
आन्दोलन	ɑː n d̪ o l ʌ n
वरदान	b ʌ r d̪ ɑː n
अङ्गुर	ʌ ŋ g u r
चैत्र	t͡ʃ ɑː i t̪ r
अशास्त्रीय	ʌ ʃ ɑː s t̪ r iː j ʌ
मेरु	m e r u
घेराबन्दी	ɡʱ e r ɑː b ʌ n d̪ i
लिसीपिसी	l i s iː p i s iː
ज्वान	d͡ʒ w ɑː n
चुक	t͡ʃ u k
आत्मपरक	ɑː t̪ m ʌ p ʌ r ʌ k
सत्कार	s ʌ t̪ k ɑː r
उखाड्	u kʰ ɑː d̪
निउँ	n i ũ
परिपक्वता	p ʌ r i p ʌ k w ʌ t̪ ɑː
लत्रि	l ʌ t̪ r i
लौत	l ɔː t̪
अधमरो	ʌ d̪ʱ m ʌ r o
गोब्र्याउ	g o b r j ɑː u
चिउँडो	t͡ʃ i ũ d̪ o
जर्क	d͡ʒ ʌ r k
प्रसिद्धि	p r ʌ s i d̪ʱ i
डफ्फा	ɖ ʌ f f ɑː
भक्खर	bʱ ʌ kː ʌ r
बिराज्	b i r ɑː d͡ʒ
निजीक्षेत्र	n i d͡ʒ iː kʃ e t̪ r
भगाङ्कुर	bʱ ʌ g ɑː ŋ k u r
क्वाइँक्वाइँ	k w ɑː ĩ k w ɑː ĩ
टाउको	ʈ ɑː u k o
पाना	p ɑː n ɑː
राह	r ɑː ɦ
बबरमहल	b ʌ b ʌ r m ʌ ɦ ʌ l
मथल्	mʌ t̪ʰ ʌ l
हन्न	ɦ ʌ nː
ढिस्को	ɖʱ i s k o
पेट्रोलपम्प	p e ʈ r o l p ʌ m p
रामनारायण	r ä m n ä r ä j ʌ n
कुञ्जी	k u ɲ d͡ʒ i
कावा	k ä w ä
आयातमुण्ड	ä j ä t̪ ʌ m u ɳ ɖ
छक्का	t͡ʃ ʌ kː ä
चर्म	t͡ʃ ʌ r m
शिष्टाचार	ʃ i ʂ ʈ ä t͡ʃ ä r
उपनिवेशवाद	u p ʌ n i w e ʃ w ä d
बजिर	b ʌ d͡ʒ i r
अनेकौं	ʌ n e k ʌ̃
पटटट	p ʌ ʈ ʌ ʈ ʌ ʈ
कपिलवस्तु	k ʌ p i l w ʌ s t̪ u
अपरिपक्वता	ʌ p ʌ r i p ʌ k w ʌ t̪ ä
उफ्र	u pʰ r
गोरुसिङ्गे	ɡ o r u s i ŋ ɡ e
आदर	ä d ʌ r
सगाउ	s ʌ ɡ ä u
सर्जक	s ʌ r d͡ʒ ʌ k
कोटेश्वर	k o ʈ e ʃ w ʌ r
छेकुवा	t͡ʃ e k u w ä
उत्तेजन	u t̪ t̪ e d͡ʒ ʌ n
आरक्षण	ä r ʌ kʃ ʌ n
कोक्ल्याँटो	k o k l j ä̃ ʈ o
अथक	ʌ t̪ʰ ʌ k
भँगडी	bʱ ʌ̃ ɡ ʌ d i
कवाज	k ʌ w ä d͡ʒ
लक्ष	l ʌ kʃ
क्वार्र	k w ä r r
प्रिन्ट	p r i n ʈ
मेध	m e dʱ
उप-मार्ग	u p m ä r ɡ
साहचर्य	s ä ɦ ʌ t͡ʃ ʌ r j
ससीम	s ʌ s i m
तुर्लुङ्ङ	t̪ u r l u ŋ ɡ
चौटा	t͡ʃ ʌ u ʈ ä
खोतल्	kʰ o t̪ ʌ l
पट्ट	p ʌ ʈ ʈ
उज्ज्वलित	u d͡ʒ d͡ʒ w ʌ l i t̪
अकाल	ʌ k ä l
गन्दा	ɡ ʌ n d ä
जाडे	d͡ʒ ä ɖ e
छिरबिरे	t͡ʃ i r b i r e
हिमस्खलन	ɦ i m s kʰ l ʌ n
धनुर्धर	dʱ ʌ n u r dʱ ʌ r
अट्टालिका	ʌ ʈ ʈ ä l i k ä
पार्षद	p ä r ʂ ʌ d

    समन्वय	s ʌ m ʌ n ʋ ʌ j
चोरऔंले	t͡ʃ o r ʌ̃ ũ l e
पछितो	p ʌ t͡ʃʰ i t̪ o
गतिहारा	ɡ ʌ t̪ i ɦ ä r ä
गँडोहो	ɡ ã ɖ o ɦ o
पहिरो	p ʌ ɦ i r o
उल्लसित	u l l ʌ s i t̪
शंसोधन	ʃ ã s o d̪ ɦ ʌ n
ड्युटी	ɖ j u t̪ i
वायरलेस	ʋ ä j ʌ r l e s
अलौटो	ʌ l aʊ t̪ o
खिपुवा	kʰ i p u ʋ ä
बिन्	b i n
जनवरी	d͡ʒ ʌ n ʌ ʋ ʌ r i
जगर्सेठ	d͡ʒ ʌ ɡ ʌ r s e ʈʰ
थापा	ʈʰ ä p ä
भगवान	bʱ ʌ ɡ ʋ ä n
थच्चि	ʈʰ ʌ t͡ʃ t͡ʃ i
सपेटो	s ʌ p e t̪ o
आलमारी	ä l m ä r i
जसरी	d͡ʒ ʌ s ʌ r i
पराग	p ʌ r ä ɡ
ज्वान	d͡ʒ ʋ ä n
पावरनाथ	p ä ʋ ʌ r n ä ʈʰ
पालनपोषण	p ä l ʌ n p o ʂ ʌ n
पगितो	p ʌ ɡ i t̪ o
पिरीपिरी	p i r i p i r i
पजेरो	p ʌ d͡ʒ e r o
उवासंघ	u ʋ ä s ã ɡʱ
पीपल	p i p ʌ l
सेवक	s e ʋ ʌ k
चस्क	t͡ʃ ʌ s k
कुच्चि	k u t͡ʃ t͡ʃ i
मध्यनजर	m ʌ d̪ʱ j ʌ n ʌ d͡ʒ ʌ r
दिनचर्या	d̪ i n ʌ t͡ʃ ʌ r j ä
परिवार	p ʌ r i ʋ ä r
कर्कशता	k ʌ r k ʌ ʂ ʌ t̪ ä
घुन्न	ɡʱ u n n
अविवेक	ʌ ʋ i ʋ e k
पुरुष	p u r u ʂ
बाहु	b ä ɦ u
खानदानी	kʰ ä n ʌ d̪ ä n i
ठहर्	ʈʰ ʌ ɦ ʌ r
मात्रृभाषा	m ä t̪ r ʌ bʱ ä ʂ ä
सनई	s ʌ n ä i
भद्रा	bʱ ʌ d̪ r ä
वीरेन्द्रनगर	ʋ i r e n d̪ r ʌ n ʌ ɡ ʌ r
बीबीसी	b i b i s i
अपुङ्गी	ʌ p u ŋ ɡ i
मुद्दा	m u d̪ d̪ ä
उडन्ता	u ɖ ʌ n t ʌ
सुकसुक	s u k s u k
छाउरो	t͡ʃʰ a u r o
खोस्	kʰ o s
फरासी	pʰ ʌ r a s i
अन्सारी	ʌ n s a r i
क्रम	k r ʌ m
कल्पनीय	k ʌ l p n i j ʌ
छिपछिप	t͡ʃʰ i p t͡ʃʰ i p
ढलिमली	ɖʱ ʌ l i m ʌ l i
आसन्नकाल	a s ʌ n n k a l
भाद्र	bʱ a d r
दर्शन	d ʌ r ʃ ʌ n
ज्ञ	d͡ʒ ʌ̃
थिच्	tʰ i t͡ʃ
पूर्ति	p u r t i
कर्तृक	k ʌ r t r k
चन्द्रमणि	t͡ʃ ʌ n d r m ʌ n i
निवृत्त	n i b r t t
पाण्डव	p a n d ʌ b
स्वाइँस्वाइँती	s b a i̯ s b a i̯ t i
शुक्र	ʃ u k r
क्विन्टल	k b i n t ʌ l
कराई	k ʌ r a i
जप्	d͡ʒ ʌ p
दयानिधान	d ʌ j a n i dʱ a n
दृष्टान्त	d r ʃ t a n t
छ्याप	t͡ʃʰ j a p
बोको	b o k o
कार्यशैली	k a r j ʃ a i l i
नाली	n a l i
अतिचारी	ʌ t i t͡ʃʰ a r i
ठ्यामठ्याम	tʰ j a m tʰ j a m
च्याँसे	t͡ʃ j ã s e
उच्चस्तरीय	u t͡ʃ t͡ʃ s t ʌ r i j ʌ
अनुसूचक	ʌ n u s u t͡ʃ ʌ k
लौरी	l a u r i
वर्डस्वर्थ	b ʌ r d s b ʌ r tʰ
शिरीष	ʃ i r i ʃ
द्वैपायन	d b a i p a j ʌ n
चड्कन	t͡ʃ ʌ d k ʌ n
छुवाछुत	t͡ʃʰ u b a t͡ʃʰ u t
कर्णफूल	k ʌ r n pʰ u l
भन्दा	bʱ ʌ n d a
अनुलोम	ʌ n u l o m
अयोगात्मक	ʌ j o ɡ a t m ʌ k
अगम्यता	ʌ ɡ ʌ m j ʌ t a
मनीषा	m ʌ n i ʃ a
अनुपराज	ʌ n u p ʌ r a d͡ʒ
सुविधा	s u b i dʱ a
हिमचुली	ɦ i m ʌ t͡ʃ u l i
धादिङ	d̪ʱ ä d i ŋ
स्याहार	s j ä ɦ ä r
रेटाइ	r e ʈ ä i
थाङ्‍ग्रो	ʈʰ ä ŋ ɡ r o
पाँडे	p ä̃ ɖ e
छुरबुर	t͡ʃʰ u r b u r
र्‌याखर्‌याख	r j ä kʰ r j ä kʰ
सराप्	s ʌ r ä p
अनुज	ʌ n u d͡z
उनी	u n i
फोसा	pʰ o s ä
रामेश्वर	r ä m e ʃ w ʌ r
अन्वर्थ	ʌ n w ʌ r ʈʰ
अनिता	ʌ n i t ä
छन्क	t͡ʃʰ ʌ n k
जङ्गब	d͡z ʌ ŋ ɡ ʌ b
झुट्ट	d͡zʱ u ʈ ʈ
एकतमास	e k ʌ t ʌ m ä s
क्लीब	k l i b
विश्रामालय	b i ʃ r ä m ä l ä j
अक्षांश	ʌ kʃ ä̃ ʃ
निजगढ	n i d͡z ʌ ɡ ʌ d̪ʱ
सलिल	s ʌ l i l
सम्मेलन	s ʌ m m e l ʌ n
बार्	b ä r
लगनशीलता	l ʌ ɡ ʌ n ʌ ʃ i l ʌ t ä
अरगज्ज	ʌ r ʌ ɡ ʌ d͡z d͡z
पहिलो	p ʌ ɦ i l o
विद्यावारिधि	b i d̪ j ä b ä r i d̪ʱ i
क्षति	kʃ ʌ t i
भन्सार	bʱ ʌ n s ä r
चन्द्रमुखी	t͡ʃ ʌ n d̪ r ʌ m u kʰ i
मौजेनी	m ʌ u̯ d͡z e n i
सिधेनुन	s i d̪ʱ e n u n
घिनलाग्दो	ɡʱ i n l ä ɡ d o
पाँज्	p ä̃ d͡z
सहसेनानी	s ʌ ɦ s e n ä n i
महासन्धि	m ʌ ɦ ä s ʌ n d̪ʱ i
कोक्ल्याँटो	k o k l j ä̃ ʈ o
अपरेटर	ʌ p ʌ r e ʈ ʌ r
दापा	d ä p ä
चट्याङ्ग	t͡ʃ ʌ ʈ j ä ŋ ɡ
कुँदुवा	k ũ̯ d u w ä
कवास	k ʌ w ä s
झुटो	d͡zʱ u ʈ o
घोप्ट्	ɡʱ o p ʈ
बत्तीस	b ʌ t t i s
जडौरी	d͡z ʌ ɖ ʌ u̯ r i
थच्कार्	ʈʰ ʌ t͡ʃ k ä r
वनकुसुम	v ʌ n ʌ k u s u m
बाकस	b ä k ʌ s
फलाक्	pʰ ʌ l ä k
लुटि	l u ʈ i
बर्मा	b ʌ r m ä
घटघटी	ɡʱ ʌ ʈ ɡʱ ʌ ʈ i
बेन्च	b e n t͡ʃ
आर्द्रक	ä r d r ʌ k
करामत	k ʌ r ä m ʌ t
इस्लामावाद	i s l ä m ä v ä d
घुलित	ɡʱ u l i t
खस्राङखुस्रुङ	kʰ ʌ s r ä ŋ kʰ u s r u ŋ
दीप्‍ति	d i p t i
उल्लेखनीय	u l l e kʰ ʌ n i j
उद्धारक	u d̪ʱ ä r ʌ k
झञ्झावर्णन	d͡zʱ ʌ̃ d͡zʱ ä v ʌ r n ʌ n
तड्प	t ʌ ɖ p
कठपाइले	k ʌ ʈʰ p ä i l e
निब्ट	n i b ʈ
अपहरणकारी	ʌ p ʌ ɦ ʌ r ʌ n k ä r i
उगाउ	u ɡ ä u
पुष्टकारी	p u ʂʈ k ä r i
रोगब्याधी	r o ɡ b j ä d̪ʱ i
हतास	ɦ ʌ t ä s
लठाङ्ग्रि	l ʌ ʈʰ ä ŋ ɡ r i
मान्धाता	m ä n̪ d̪ʱ ä t ä
हिसाबकिताब	ɦ i s ä b k i t ä b
लौत	l ʌ u t
वरदान	b ʌ r d ä n
केर्	k e r
क्षत	k ʂ ʈ
मालिनी	m ä l i n i
मजनु	m ʌ d͡z ʌ n u
कमेन्ट	k ʌ m e n ʈ
हल	ɦ ʌ l
कुचुर्कि	k u t͡ʃ u r k i
कविहृदय	k ʌ v i ɦ r ʌ d ʌ j
पाथी	p ä ʈʰ i
करङ	k ʌ r ʌ ŋ
जैरे	d͡z ä i r e
दौँतरी	d̪ ʌ̃ u t ʌ r i
जिस्क	d͡z i s k
सँगी	s ʌ̃ ɡ i
सह्यार्	s ʌ ɦ j ä r
फाँड	pʰ ä̃ ɖ
मुग्लिङ	m u ɡ l i ŋ
गदरी	ɡ ʌ d ʌ r i
उपयोगी	u p ʌ j o ɡ i
बिछ्यौना	b i t͡ʃʰ j ʌ u n ä
अयोगात्मक	ʌ j o ɡ ä t̪ m ʌ k
जुस	d͡ʒ u s
जतासुकै	d͡ʒ ʌ t̪ ä s u k ä i
अनुपकार	ʌ n u p ʌ k ä r
भाकभुक	bʱ ä k bʱ u k
सलिल	s ʌ l i l
पूँजीवाद	p ũ̯ d͡ʒ i w ä d̪
आँखीभुईँ	ä̃ kʰ i bʱ u ĩ
छुल्क	t͡sʰ u l k
समतल	s ʌ m ʌ t̪ ʌ l
चिन्ताकुल	t͡ʃ i n̪ t̪ ä k u l
सहटाउ	s ʌ ɦ ʌ t̪ ä u
सतबिउ	s ʌ t̪ ʌ b i u
हत्याकाण्ड	ɦ ʌ t̪ j ä k ä ɳ d̪
चौबर	t͡ʃ ʌ u b ʌ r
नरदेवी	n ʌ r ʌ d̪ e w i
ख्यातनामा	kʰ j ä t̪ ʌ n ä m ä
जिप्टो	d͡ʒ i p t̪ o
घर्षण	ɡʱ ʌ r ʂ ʌ ɳ
सुपरिवेक्षण	s u p ʌ r i w e k ʂ ʌ ɳ
चुनी	t͡ʃ u n i
भुटन	bʱ u t̪ ʌ n
सङ्गम	s ʌ ŋ ɡ ʌ m
तकदिर	t̪ ʌ k ʌ d̪ i r
आज	ä d͡ʒ
प्रेम	p r e m
क्याल्सीयम	k j ä l s i j ʌ m
घिनलाग्दो	ɡʱ i n ʌ l ä ɡ̞ d̪ o
अनुज	ʌ n u d͡ʒ
खाडी	kʰ ä d̪ i
उमेर	u m e r
अहल्या	ʌ ɦ ʌ l j ä
गबुल्लो	ɡ ʌ b u l l o
च्याप्टि	t͡ʃ j ä p t̪ i
भद्रा	bʱ ʌ d̪ r ä
चिच्चो	t͡ʃ i t͡ʃ t͡ʃ o
खपटे	kʰ ʌ p ʌ t̪ e
छठ	t͡sʰ ʌ t̪ʰ
मालश्री	m ä l ʂ r i
क्रन्दन	k r ʌ n̪ d̪ ʌ n
लिपपोत	l i p ʌ p o t̪
घोलुवा	ɡʱ o l u w ä
खोल्सी	kʰ o l s i
पक्षी	p ʌ k ʂ i
ढकमक्क	ɖʱ ʌ k m ʌ k k
लहना	l ʌ ɦ n ä
इमारत	i m ä r ʌ t̪
डिजिटल	ɖ i d͡ʒ i t̪ ʌ l
गुठी	ɡ u t̪ʰ i
कोलाहल	k o l ä ɦ ʌ l
सँगेल्	s ã ɡ e l

    सनसनती	s ʌ n ʌ s ʌ n ʌ t̪ i
