चपेटा	t͡ʃʌpʌʈʌ
रीस	r i s
विदेशमन्त्री	w i d̪ e ʃ m ʌ n t̪ r i
घनटाउके	ɡʱ ʌ n ʈ ʌ u k e
सत्कार	s ʌ t̪ k ʌ r
उल्टाइ	u l ʈ ʌ i
कखौतो	k ʌ kʰ ʌ u t̪ o
सञ्चालिका	s ʌ n t͡ʃ ʌ l i k ʌ
घस्य्राहा	ɡʱ ʌ s j r ʌ h ʌ
घुस	ɡʱ u s

    लँगौटी	l ə̃ ŋ ɔ ʈ i
कठपाइले	k ʌ ʈʰ p ɑ i l e
भुक्लुक्क	bʱ ʊ k l ʊ k k
कपासे	k ʌ p ɑ s e
पुस	p ʊ s
हाउस	ɦ ɑ ʊ s
अपस्मार	ʌ p s m ɑ r
घडघडे	ɡʱ ʌ ɖ ɡʱ ʌ ɖ e
ड्वाङङ्वाङ	ɖʋ ɑ ŋ ŋ ʋ ɑ ŋ
पत्तोफाँट	p ʌ t t o f ɑ̃ ʈ
बगाल	b ʌ ɡ ɑ l
कलमजीवी	k ʌ l ʌ m dʒ i ʋ i
बुधुना	b ʊ dʱ ʊ n ɑ
चिहान	tʃ i ɦ ɑ n
सामियाना	s ɑ m i j ɑ n ɑ
चैत्र	tʃ ɛ t r
उछिल्ल्याहा	ʊ tʃʰ i l l j ɑ ɦ ɑ
मनोभावना	m ʌ n o bʱ ɑ ʋ n ɑ
अलौटो	ʌ l ɔ ʈ o
विमुढ	ʋ i m ʊ ɖʱ
छिपाउ	tʃʰ i p ɑ ʊ
गन्दगी	ɡ ʌ n d ʌ ɡ i
झुरो	dʒʱ ʊ r o
रातारात	r ɑ t ɑ r ɑ t
अवाञ्छनीय	ʌ ʋ ɑ ɲ tʃʰ n i j ʌ
कुचेष्टा	k ʊ tʃ e ʂ ʈ ɑ
विलक्षण	ʋ i l ʌ kʂ ʌ n
आधार	ɑ dʱ ɑ r
खिस्सा	kʰ i s s ɑ
अधिकृत	ʌ dʱ i k r ɪ t
लडाक	l ʌ ɖ ɑ k
नीम	n i m
हुस्सु	ɦ ʊ s s ʊ
गुत्थि	ɡ ʊ tʰ tʰ i
अत्यास	ʌ t j ɑ s
जर्कट	dʒ ʌ r k ʈ
दर्शन	d ʌ r ʃ ʌ n
कान्छी	k ɑ n tʃʰ i
सुर	s ʊ r
नाइटो	n ɑ i ʈ o
घोचुवा	ɡʱ o tʃ ʊ ʋ ɑ
सहसेनानी	s ʌ ɦ s e n ɑ n i
बाउँडि	b ɑ ʊ̃ ɖ i
युगौँ	j ʊ ɡ ɔ̃
अफाल्	ʌ f ɑ l
च्वाँक	tʃʋ ɑ̃ k
ठक्‍कर	ʈʰ ʌ k k ʌ r
टेस्ट	ʈ e s ʈ
खसोखास	kʰ ʌ s o kʰ ɑ s
टुङ्‍ना	ʈ u ŋ n ɑ
गिज्ज	ɡ i d͡z d͡z
अनुसार	ʌ n u s ɑː r
अडियल	ʌ ɖ i j ʌ l
फतर्को	pʰ ʌ t̪ ʌ r k o
विशालबजार	b i ʃ ɑː l b ʌ d͡z ɑː r
अज्ञेय	ʌ d͡z ɲ e j
आचमन	ɑː t͡ʃ m ʌ n
आत्मालोचना	ɑː t̪ m ɑː l o t͡ʃ ʌ n ɑː
सङ्ल	s ʌ ŋ l
गिरावट	ɡ i r ɑː b ʌ t̪
ल्वात्त	l w ɑː t̪ t̪
कुशासन	k u ʃ ɑː s ʌ n
एक्कासि	e k̚ k ɑː s i
चेन्ज	t͡ʃ e n d͡z
त्यता	t̪ j ʌ t̪ ɑː
मान्धाता	m ɑː n dʱ ɑː t̪ ɑː
अपुङ्गी	ʌ p u ŋ ɡ i
लेखापरीक्षण	l e kʰ ɑː p ʌ r iː kʃ ʌ n
उस्ताद	u s t̪ ɑː d
कपासे	k ʌ p ɑː s e
जीर्ण	d͡z iː r ɳ
चम्सुर	t͡ʃ ʌ m s u r
कुनो	k u n o
आशंसित	ɑː ʃ ʌ̃ s i t̪
बिछ्यौना	b i t͡ʃ j ɔː n ɑː
उग्रवाद	u ɡ r ʌ b ɑː d
लटपट	l ʌ t̪ p ʌ t̪
झाँगड	d͡zʱ ɑ̃ ɡ ʌ ɖ
मोसो	m o s o
अदालत	ʌ d ɑː l ʌ t̪
सारांश	s ɑː r ɑ̃ ʃ
सूची	s uː t͡ʃ i
चन्द्रमणि	t͡ʃ ʌ n d̪ r ʌ m ʌ ɳ i
देख्	d e kʰ
सती	s ʌ t̪ iː
पाण्डे	p ɑː ɳ ɖ e
पक्षी	p ʌ kʃ iː
सम्पुट	s ʌ m p u t̪
साढु	s ɑː ɖʱ u
सारुप्य	s ɑː r u p j ʌ
सुमर्	s u m ʌ r
भुक्लुक्क	bʱ u k l u k̚ k
झङ्कारित	d͡zʱ ʌ ŋ k ɑː r i t̪
धर्मपत्र	d̪ʱ ʌ r m ʌ p ʌ t̪ r
टकराउ	t̪ ʌ k ʌ r ɑː u
बिमाख	b i m ɑː kʰ
बतुरि	b ʌ t̪ u r i
बगली	b ʌ ɡ ʌ l i
अकथित	ʌ k ʌ t̪ʰ i t̪
मैनबत्ती	m ʌ i n ʌ b ʌ t̪ t̪ iː

    कल्याण	k ʌ l j ä̃
भर्सेला	bʱ ʌ r s e l ä
रातारात	r ä t ä r ä t
धूवाँ	dʱ u v ä̃
ख्याल	kʱ j ä l
बौद्धिकता	b aʊ dʱ i k ʌ t ä
अश्रान्त	ʌ s r ä n t̪
साँच्चै	s ä̃ t͡ʃ t͡ʃ ä i
इन्क्लाब	i n k l ä b
आशाकारी	ä s ä k ä r i
देख्	d e kʰ
सिँगारु	s ĩ ɡ ä r u
ल्याङ्ग्वेज	l j ä ŋ g w e d͡z
गबुल्लो	ɡ ʌ b u l l o
उझिन्ड्याउ	u d͡ʒʱ i n ɖ j ä u
क्वाइँक्वाइँ	k w ä ĩ k w ä ĩ
पास	p ä s
धुस्नि	dʱ u s n i
अवास्तविक	ʌ w ä s t̪ ʌ v i k
उल्टोसुल्टो	u l ʈ o s u l ʈ o
पुलुपुलु	p u l u p u l u
उँधो	ũ dʱ o
गल	ɡ ʌ l
अंशु	ʌ̃ s u
परपरि	p ʌ r p ʌ r i
जस	d͡z ʌ s
नीच	n i t͡ʃ
कत्रो	k ʌ t̪ r o
गोस्वारी	ɡ o s w ä r i
निजगढ	n i d͡z ɡ ʌ dʱ
कट्टरपन्थी	k ʌ ʈ ʈ ʌ r p ʌ n t̪ʰ i
चोक	t͡ʃ o k
स्क्यान	s k j ä n
थुँगा	t̪ʰ ũ ɡ ä
प्रेसिडेन्ट	p r e s i d e n ʈ
डाँड्	ɖ ä̃ ɖ
टाई	ʈ ä i
दोचा	d o t͡ʃ ä
गूढ	ɡ u ɖʱ
हुत्त	ɦ u t̪ t̪
याँ	j ä̃
अर्थात्	ʌ r t̪ʰ ä t̪
बाउँडि	b ä ũ ɖ i
लता	l ʌ t̪ ä
गुल्ट	ɡ u l ʈ
बेग्लि	b e ɡ l i
विश्लेषण	v i ʃ l e s ʌ n
चरी	t͡ʃ ʌ r i
छालि	t͡ʃʰ ä l i
चिरबिरे	t͡ʃ i r b i r e

    चूनढुङ्गो	t͡ʃ uː n ɖʱ u ŋ ɡ o
प्रालेख	p ɾ aː l e kʰ
उच्छल	u t͡ʃʰ ʌ l
अतिरथी	ʌ t̪ i ɾ ʌ t̪ʰ iː
रञ्जनादेवी	ɾ ʌ ɲ d͡ʒ ʌ n aː d eː ʋ iː
गन्धिलो	ɡ ʌ n d̪ʱ i l o
चपाती	t͡ʃ ʌ p aː t̪ iː
अज्ञेय	ʌ d͡ʒ ɲ eː j ʌ
सेप	s eː p
कम्ती	k ʌ m t̪ iː
शुद्धाशुद्धि	ʃ u d̪ʱ aː ʃ u d̪ʱ i
ह्रास	ɦ ɾ aː s
ऐँचाताना	ʌ ĩ t͡ʃ aː t̪ aː n aː
श्रेणी	ʃ ɾ eː ɳ iː
मेधा	m eː d̪ʱ aː
समेना	s ʌ m eː n aː
हेरविचार	ɦ eː ɾ ʋ i t͡ʃ aː ɾ
पसाँगि	p ʌ s aː ŋ i
अकर्मण्यता	ʌ k ʌ ɾ m ɳ j ʌ t̪ aː
गोस्वारी	ɡ o s ʋ aː ɾ iː
नर्सिंगहोम	n ʌ ɾ s i ŋ ɡ ʌ ɦ oː m
सुकुटे	s u k uʈ eː
बाथ	b aː t̪ʰ
धुस्नि	d̪ʱ u s n i
उत्तरदाता	u t̪ t̪ ʌ ɾ d aː t̪ aː
झुत्रेझाम्रे	d͡ʒʱ u t̪ ɾ eː d͡ʒʱ aː m ɾ eː
धातु	d̪ʱ aː t̪ u
काइँकुइँ	k aː ĩ k u ĩ
फारु	pʰ aː ɾ u
दोचा	d o t͡ʃ aː
अनरेरी	ʌ n ʌ ɾ eː ɾ iː
सुजाक	s u d͡ʒ aː k
टेस्ट	ʈ eː s ʈ
फागुन	pʰ aː ɡ u n
घुँक्क	ɡʱ u ŋ k
ज्वालामुखी	d͡ʒ ʋ aː l aː m u kʰ iː
जनशक्ति	d͡ʒ ʌ n ʃ ʌ k t̪ i
जुनार	d͡ʒ u n aː ɾ
केटाकेटी	k eː ʈ aː k eː ʈ iː
आला	aː l aː
पिनास	p i n aː s
थाप्	t̪ʰ aː p
उत्तप्त	u t̪ t̪ ʌ p t̪
दापा	d aː p aː
चम्सुर	t͡ʃ ʌ m s u ɾ
ओष्ठ्यदन्त्य	o ʂʈʰ j ʌ d̪ ʌ n t̪ j ʌ
मधुरो	m ʌ d̪ʱ u ɾ o
खनाल	kʰ ʌ n aː l
कुँवर	k u ŋ ʋ ʌ ɾ
खोल्सी	kʰ o l s iː
सपाट	s ʌ p ä ʈ
पुँजी	p ũ̯ d͡ʒ i
फ्याक्स	pʰ j ä k s
फ्वासफ्वास	pʰ w ä s pʰ w ä s
भरभित्तो	bʱ ʌ r bʱ i t̪ ʈ o
बरन्डा	b ʌ r n ɖ ä
हुर्रि	ɦ u r r i
जर्क	d͡ʒ ʌ r k
कागत	k ä ɡ ʌ t̪
गबुल्लो	ɡ ʌ b u l l o
सोपान	s o p ä n
वर्त्स्य	b ʌ r t̪ s j ʌ
मदिरा	m ʌ d i r ä
औस्या	ʌ u s j ä
चस्मदिद	t͡ʃ ʌ s m ʌ d i d
आफन्त	ä pʰ ʌ n t̪
अश्रान्त	ʌ ʃ r ä n t̪
उपनिवेशवाद	u p ʌ n i b e ʃ b ä d̪
सङ्काय	s ʌ ŋ k ä j
ओल्ट	o l ʈ
गथासो	ɡ ʌ t̪ʰ ä s o
कालु	k ä l u
डफ्फा	ɖ ʌ pʰ pʰ ä
पावरनाथ	p ä b ʌ r n ä t̪ʰ
सनसनती	s ʌ n ʌ s ʌ n ʌ t̪ i
उमेर	u m e r
कुचेष्टा	k u t͡ʃ e ʂ ʈ ä
सहसेनानी	s ʌ ɦ ʌ s e n ä n i
जर्फर	d͡ʒ ʌ r pʰ ʌ r
संयम	s ʌ̃ j ʌ m
सुलसुल	s u l ʌ s u l
हृदय	ɦ r i d ʌ j
पूँजीपति	p ũ̯ d͡ʒ i p ʌ t̪ i
गहते	ɡ ʌ ɦ ʌ t̪ e
टाल	ʈ ä l
अपावन	ʌ p ä b ʌ n
चर्चित	t͡ʃ ʌ r t͡ʃ i t̪
खसोखास	kʰ ʌ s o kʰ ä s
कति न कति	k ʌ t̪ i n ʌ k ʌ t̪ i
अभिषेचन	ʌ bʱ i ʃ e t͡ʃ ʌ n
लत्र्याङ्ङ	l ʌ t̪ r j ä ŋ ŋ
दापा	d ä p ä
अनुष्ठान	ʌ n u ʂ ʈʰ ä n
गज्क	ɡ ʌ d͡ʒ k
लाउ	l ä u
प्वाइन्ट	p w ä i n ʈ
गोस्वारी	ɡ o s w ä r i
मुनामदन	m u n ä m ʌ d ʌ n
प्रेसिडेन्ट	p r e s i ɖ e n ʈ
भुटन	bʱ u ʈ ʌ n
ह्वासह्वास	ɦʋaːsɦʋaːs
पुस	pus
रुगरुगी	rugrugɪ
ठूली	ʈʰuːliː
घिनाहा	ɡʱinaːɦaː
वसन्ती	ʋasant̪iː
मुग्लिङ	muglɪŋ
हिक्मत	ɦɪkmat̪
एकौटी	ekaʊʈiː
कीर्तिशाली	kiːrt̪iʃaːliː
खरो	kʰaro
सेन्सर	sensər
चालामाला	t͡ʃaːlaːmaːlaː
एकजाति	ekd͡ʒaːt̪i
सुत्	sut̪
काई	kaːi
कटाहा	kʌʈaːɦaː
परापूर्वकाल	pɾaːpuːɾʋakaːl
उदीयमान	ud̪iːjamaːn
गोत्र	got̪ɾ
राधेश्याम	ɾaːd̪ʱeʃjaːm
उस्ताद	ust̪aːd̪
मानवजाति	maːnʋad͡ʒaːt̪i
जातपतित	d͡ʒaːt̪pat̪ɪt̪
मुसुक्क	musukk
अवास्तविक	ʌʋaːst̪ʋɪk
फाल	phaːl
उल्लसित	ullasɪt̪
कुशासन	kʊʃaːsan
प्रकृतिप्रेम	pɾəkɾɪt̪ipɾem
घुलित	ɡʱulɪt̪
सुनुवाइ	sunuʋaːi
कुँडुली	kʊ̃ɖuliː
पचपच	pat͡ʃpat͡ʃ
कडकड	kʌɖkʌɖ
चुनौती	t͡ʃunaʊt̪iː
ख्याक्क	kʰjaːkk
वहि	ʋəhi
रत्नदास	rat̪nadaːs
भड्खालो	bʱʌɖkʰaːlo
परिच्छेद	pərit͡ʃʰed̪
उत्केन्द्र	ut̪kend̪ɾ
स्तरीयता	st̪əriːjət̪aː
टेनिस	ʈenis
कुचेष्टा	kut͡ʃeʂʈaː
द्वितीया	d̪ʋit̪iːjaː
लोप्रि	loprɪ
सती	sat̪iː
खोल्सी	kʰolsiː
प्यास	pjaːs
छादित	t͡ʃʰɑːd̪it̪
आडिलो	ɑːɖilo
तीर्थयात्रा	t̪iːrt̪ʰjɑːt̪rɑː
आगा	ɑːɡɑː
ताउली	t̪ɑːuliː
अमौलिक	ʌmɔlik
किलोग्राम	kilogrɑːm
कुलवन्त	kulʋʌnt̪
गँगरि	ɡəŋɡri
विद्यार्जन	ʋid̪jɑːrd͡ʒʌn
पितिकपितिक	pit̪ikʌpit̪ik
सुजाक	sud͡ʒɑːk
बलात्कार	bɑːlɑːtkɑːr
ओइरि	oːiri
खोस्	kʰos
डब्बा	ɖʌbbɑː
अन्तर्विकास	ʌnt̪ʌrʋikɑːs
मोल	mol
बान्की	bɑːŋkiː
कखौतो	kʌkʰɔto
खिलाफ	kʰilɑːf
साँढी	sɑːɳɖʱiː
ब्यानर	bjɑːnʌr
झूटो	d͡ʒʱuːt̪o
प्राची	prɑːt͡ʃiː
होड	hoɖ
आखिरी	ɑːkʰiriː
गन्धे	ɡʌnd̪ʱe
म्याउँ	mjɑːũ
एकरुपता	ekʌrupt̪ɑː
घृणास्पद	ɡʱr̩ɳɑːspʌd̪
मेधा	meɖʱɑː
वायरलेस	ʋɑːjʌrles
सप्लाइ	sʌplɑːi
गर्धने	ɡʌrd̪ʱne
सर्जक	sʌrd͡ʒʌk
बाउसे	bɑːuse
गर्भघाती	ɡʌrbʱɡʱɑːt̪iː
बिमाख	bimɑːkʰ
कृयाकलाप	kriːjɑːkʌlɑːp
कुक्रुक्क	kukrukʰ
छोप	t͡ʃʰop
लबेदा	lʌbed̪ɑː
खड्ग	kʰʌɖɡ
रसायन	rʌsɑːjʌn
असन्तुलन	ʌsʌnt̪ulʌn
आत्मपरक	ɑːt̪mʌpʌrʌk
पिरिक्क	pirikk
सिकुटी	sikut̪iː
एनान	enɑːn

    कामोद्दीपक	k ɑː m o d d iː p ʌ k
निजगढ	n i d͡ʒ ɡ ʌ d̪ʱ
भर्सेला	bʱ ʌ r s e l ɑː
घारी	ɡʱ ɑː r iː
लिपु	l i p u
खुसखुसे	kʰ u s ʌ kʰ u s e
लेन	l e n
जम्बु	d͡ʒ ʌ m b u
सुरक्षास्रोत	s u r ʌ kʃ ɑː s r o t
अनरेरी	ʌ n ʌ r e r iː
कलङ्की	k ʌ l ʌ ŋ k iː
संसाधन	s ʌ̃ s ɑː dʱ ʌ n
ढेडु	ɖʱ e d u
अतर्कित	ʌ t ʌ r k i t
औदुम्बर	ɔː d u m b ʌ r
गणतन्त्रीय	ɡ ʌ ɳ ʌ t ʌ n t r iː j
लघुकाव्य	l ʌ ɡʱ u k ɑː v j ʌ
झुर्र	d͡ʒʱ u r r
अज्ञेय	ʌ d͡ʒ ʌ ɲ e j ʌ
बिलौना	b i l ɔː n ɑː
चिल्ल्याउ	t͡ʃ i l l j ɑː u
कामत	k ɑː m ʌ t
अबोधव्यक्ति	ʌ b o dʱ ʌ v j ʌ k t i
जिउनी	d͡ʒ i u n iː
शिलापत्र	ʃ i l ɑː p ʌ t r ʌ
बालाजु	b ɑː l ɑː d͡ʒ u
प्रिन्ट	p r i n t
बरन्डा	b ʌ r ʌ n d ɑː
सोपान	s o p ɑː n
गधा	ɡ ʌ dʱ ɑː
कलजिभ्रे	k ʌ l ʌ d͡ʒ i bʱ r e
अभागी	ʌ bʱ ɑː ɡ iː
जुत्याउ	d͡ʒ u t j ɑː u
बोध	b o dʱ
चुरुक्क	t͡ʃ u r u k k
गणित	ɡ ʌ ɳ i t
आखिरी	ɑː kʰ i r iː
कूटस्थ	k uː t ʌ s tʰ ʌ
एकताली	e k ʌ t ɑː l iː
जुत्त्याउ	d͡ʒ u t t j ɑː u
घुँगुर्कि	ɡʱ ũ ɡ u r k i
अदलबदल	ʌ d ʌ l ʌ b ʌ d ʌ l
कुरूप	k u r uː p
झलझल	d͡ʒʱ ʌ l d͡ʒʱ ʌ l
बीबीसी	b iː b iː s iː
रसिद	r ʌ s i d
बग्रेन	b ʌ ɡ r e n
इस्लामावाद	i s l ɑː m ɑː v ɑː d
टमटम	t ʌ m t ʌ m
झगडा	d͡ʒʱ ʌ ɡ ʌ d̪ʱ ɑː
हैजा	ɦaɪd͡za
जहडी	d͡zʌɦɖi
जङ्गब	d͡zaŋgʌb
केटाकेटी	keʈaketi
पाँद्	pãd
घोचुवा	ɡʱoʧuwa
इन्टेल	inʈel
लाउ	laʊ
लप्रक्क	lʌprʌkʌk
इट	iʈ
झुस्याहा	d͡zʌhusjaɦa
ज्यास्ता	d͡zjaːstaː
पोत्	pot
सुजाक	sud͡zaːk
साहुनी	saːhuni
जा	d͡zaː
लोप्रि	loprɪ
क्रम	kram
सानोठिमी	saːnoʈʰɪmi
पैले	paɪle
बेसारे	beːsaːre
सिलौटो	sɪlaʊʈo
बारा	baːraː
पञ्चायत	paɲʧaːjat
बोध	bodʱ
चाल्ने	ʧaːlne
कान्ड	kaːnɖ
गुहार	guɦaːr
तड्प	tɖp
लागिमेली	laːgɪmeli
दुख्	dukʱ
कलजिभ्रे	kʌlʌd͡zɪbʱre
नैकाप	naɪkaːp
निर्वाध	nɪrvaːdʱ
टेक	ʈek
झन्क	d͡zʌnʌk
अलौटो	ʌlaʊʈo
सन्यास	sʌnjaːs
राजर्षि	raːd͡zʌrʂɪ
दामल१	daːmʌl1
कटहर	kaʈʌɦʌr
तीस	tiːs
ङ्वासङ्वास	ŋwaːsŋwaːs
उल्टोसुल्टो	ʊlʈosʊlʈo
अनिष्ट	ʌnɪʂʈ
राँध्	rãdʱ
गुलाब	gulaːb
कनिके	kʌnɪke
अनेकौं	ʌnekaũ
साँघी	sãɡʱi
मतभेद	mʌt̪bʱeːd̪
र्‌याँर्याँ	rjɑ̃rjɑ̃
असर	ʌsʌr
गुणसागर	ɡʊɳsɑːɡʌr
खतम	kʰʌt̪ʌm
रामनारायण	rɑːmʌnɑːrɑːjʌɳ
दोमट	d̪oːmʌʈ
लडाक	lʌɖɑːk
डिनर	ɖinʌr
पाउलो	pɑːʊloː
दर्शन	d̪ʌrʃʌn
स्वाइँस्वाइँती	sʋɑːĩsʋɑːĩt̪iː
भुटान	bʱʊʈɑːn
पूर्णविराम	pʊːrɳʋirɑːm
तोबा	t̪oːbɑː
बबरमहल	bʌbʌrmʌɦʌl
धर्मशास्त्र	d̪ʱʌrmʃɑːst̪r
देखावटी	d̪eːkʰɑːʋʌʈiː
चेपे	t͡ʃeːpeː
खोप्रो	kʰoːproː
रसि	rʌsi
छयहत्तर	t͡ʃʌjʌɦʌʈʈʌr
गर्	ɡʌr
जैसी	d͡ʒɑːisiː
पोल्टो	poːlʈoː
हतपती	ɦʌt̪ʌpʌt̪iː
खैँच	kʰɑ̃it͡ʃ
अश्वशक्ति	ʌʃʋʌʃʌkt̪i
मैलो	mɑːiloː
फारो	pʰɑːroː
होड	ɦoːɖ
एन	eːn
अनेकौं	ʌneːkɑ̃
जातपक्ष	d͡ʒɑːt̪ʌpʌkʃ
बाँको	bɑ̃koː
छेका	t͡ʃeːkɑː
सुम्लो	sʊmloː
करोड	kʌroːɖ
मारुनी	mɑːruniː
मेरु	meːru
व्यन्जन	ʋjʌnd͡ʒʌn
हस्तक्षेप	ɦʌst̪ʌkʃeːp
पक्राउ	pʌkrɑːʊ
क्यापिटल	kjɑːpiʈʌl
त्यता	t̪jʌt̪ɑː
विपक्षी	ʋipʌkʃiː
भरोसा	bʱʌrosɑː
निर्वाध	nirʋɑːd̪ʱ
लय	lʌj
मोतीकला	moːt̪iːkʌlɑː
छपाइ	ʧʰəpɑi
किट्	kɪʈ
छ्याकटे	ʧʰjɑːkʈe
अनुत्पादित	ənutpɑːdɪt
विमुढ	vɪmuɖʱ
सम्पूर्णता	səmpuːrɳətɑː
अपुष्ट	əpuʂʈ
यगण	jəgəɳ
अमलबाज	əməlbɑːʤ
अध्ययन	ədʱjəjən
तौली	tɔːliː
अश्‌लील	əʃliːl
गद्दारी	gəddɑːriː
त्रियाकलाप	trijɑːkəlɑːp
एकसट्ठी	ekəsʈʰiː
बिघ्नबाधा	bɪɡʱnəbɑːdʱɑː
पूर्ति	puːrti
डवल	ɖəvəl
फैसला	pʰɛːsəlɑː
भूईँचालो	bʱuːiːʧɑːlo
वायरलेस	vɑːjərəlɛs
थुप्रो	tʰupro
गोप्यता	gopjətɑː
अधीन	ədʱiːn
अकथनिय	əkətʰənɪj
नशा	nəʃɑː
टिलटिलती	ʈɪlʈɪlətiː
हिमालचुली	hɪmɑːlʧuliː
तमाखु	təmɑːkʰu
तुलसीपुर	tulsipur
अहह	əhəh
आमसञ्चार	ɑːməsənʧɑːr
पाडी	pɑːɖiː
बत्ताउ	bəttɑːu
खस	kʰəs
शब्दकोष	ʃəbdəkoʃ
नाजी	nɑːʤiː
मेधा	mɛːdʱɑː
बिरौटो	bɪrɔːʈo
उच्छृङ्खल	uʧʧʰrʊŋkʰəl
रूहु	ruːhu
जिनिस	ʤɪnɪs
थाल्नी	tʰɑːlniː
क्याफ्टेरिया	kjɑːftɛriːə
ठेलाइ	ʈʰɛːlɑːi
वेदवाक्य	vɛːdəvɑːkjə
हुर्रि	hurri
भेडा	bʱɛːd̪ɑː
ओझेल	oʤʰɛl
सुबानी	subɑːni
झुत्ती	ʤʱʊt̪ːi
चक्क	t͡ʃʌkː
वहीँ	ʋʌɦĩː
डिबडिब	ɖibɖib
हडबडी	ɦɖʌbɖiː
आदी	ɑːdiː
फ्याल्ल	pʰjɑːlː
रामकृष्ण	rɑːmkrɪʂɳ
टेण्डर	ʈeɳɖər
वाक्यविन्यास	ʋɑːkjʋinjɑːs
आविभूर्त	ɑːʋibʱuːrt
उपनिवेशवाद	ʊpn̪iʋeːʂʋɑːd
पेट्रोलपम्प	peːʈrolpʌmp
कुटुम्ब	kʊʈʊmb
छपन	t͡ʃʰʌpʌn
श्रीमान	ʃriːmɑːn
आती	ɑːtiː
प्रधान	prʌd̪ʱɑːn
बन्दीघर	bʌn̪diːgʱʌr
मैनबत्ती	mɛːnbʌt̪ːiː
युगवाणी	jʊgʋɑːɳiː
भतभती	bʱʌtbʱʌtiː
कोटेश्वर	koʈeːʂʋʌr
लम्मि	lʌmmi
अल्बानीया	ʌlbɑːniːjɑː
झीनू	ʤʱiːnuː
घण्टी	gʱʌɳʈiː
रोध	roːd̪ʱ
जग्गाजमिन	ʤʌgːɑːʤʌmin
वस्तुविनियम	ʋʌst̪ʊʋinijʌm
मेरु	meːru
दावा	d̪ɑːʋɑː
गन्धिलो	gʌnd̪ʱilo
झ्याप्प	ʤʱjɑːpː
अविचलित	ʌʋit͡ʃʌlit
उपविष्ट	ʊpʌʋiʂʈ
यगण	jʌgʌɳ
गन्धर्व	gʌnd̪ʱʌrʋ
पिशाच	piːʃɑːt͡ʃ
इन्कार	in̪kɑːr
आवाज	ɑːʋɑːʤ
अन्य	ʌnj
भियना	bʱijʌn̪ɑː
गुण्डागर्दी	gʊɳɖɑːgʌrd̪iː
सन्चालन	sʌnt͡ʃɑːlʌn
वैधता	ʋɛːd̪ʱʌt̪ɑː
घर्ती	gʱʌrt̪iː
झिँगो	ʤʱĩːgo
कोटेरो	koʈeːro
ढड्याङढुडुङ	ɖʱɖjɑːŋɖʱʊɖʊŋ
चौखुँडे	t͡ʃ aʊ kʰ ʌ̃ ɖ e
आमसञ्चार	ɑː m ʌ s ɲ t͡ʃ ɑː r
अतुल्य	ʌ t̪ u l j ʌ
वायुमण्डल	v ɑː j u m ʌ ɳ ɖ ʌ l
लोक	l oʊ k
इच्छापत्र	i t͡ʃ t͡ʃ ɑː p ʌ t̪ r ʌ
आतङ्कवादी	ɑː t̪ ʌ ŋ k v ɑː d iː
आत्मघाती	ɑː t̪ m ɡʱ ɑː t iː
लुगाफाटा	l u ɡ ɑː f ɑː t̪ ʌ
असहन	ʌ s ʌ h ʌ n
सिलौटो	s i l aʊ t̪ oʊ
आँच	ɑː̃ t͡ʃ
उपनिवेशवाद	u p ʌ n i v eː ʃ v ɑː d
अग्रिम	ʌ ɡ r i m
अस्तबल	ʌ s t̪ ʌ b ʌ l
विषाद	v i ʃ ɑː d
बन्दीघर	b ʌ n d iː ɡʱ ʌ r
साँघी	s ɑː̃ ɡʱ iː
मिर्ग	m i r ɡ
विस्तारी	v i s t̪ ɑː r iː
लुँडे	l ʌ̃ ɳ ɖ e
काहिँला	k ɑː h ĩ l ʌ
तोबा	t̪ oʊ b ʌ
नागरिकता	n ɑː ɡ ʌ r i k ʌ t̪ ʌ
दुरावस्था	d u r ɑː v ʌ s t̪ʰ ʌ
त्रिताल	t̪ r i t̪ ɑː l
पञ्चैती	p ʌ ɲ t͡ʃ aɪ t iː
अङ्कारा	ʌ ŋ k ɑː r ʌ
हरिभक्त	h ʌ r i bʱ ʌ k t̪
अफ्रिका	ʌ f r i k ɑː
घुँक्क	ɡʱ ʌ̃ k k
छयहत्तर	t͡ʃʰ ʌ j ʌ h ʌ t̪ t̪ ʌ r
टुपुटुपु	t̪ u p u t̪ u p u
बर्मा	b ʌ r m ɑː
सम्प्रति	s ʌ m p r ʌ t̪ i
बाध्य	b ɑː dʱ j ʌ
दस्तखत	d ʌ s t̪ ʌ kʰ ʌ t̪
उलामाला	u l ɑː m ɑː l ʌ
वाक्यगठन	v ɑː k j ʌ ɡʱ ʌ t̪ʰ ʌ n
व्रतालु	v r ʌ t̪ ɑː l u
छ्‌वात्लाङ्ङ	t͡ʃʰ w ɑː t̪ l ɑː ŋ ŋ
तत्काल	t̪ ʌ t̪ k ɑː l
हप्कीदप्की	h ʌ p k iː d ʌ p k iː
कछुवा	k ʌ t͡ʃʰ u v ɑː
चमचम	t͡ʃ ʌ m ʌ t͡ʃ ʌ m
भोजपुर	bʱ oʊ d͡ʒ p u r
आसत्ति	ɑː s ʌ t̪ t̪ i
जिबुल्ले	d͡ʒ i b u l l e
स्वाहा	s v ɑː h ɑː
दपेटाइ	d ʌ p eː t̪ ɑː i
समाचारदाता	səmɑːt͡ʃɑːrdɑːtɑː
ठकठकी	ʈʰəkʈʰəkiː
पशुपक्षी	pəʃupəkʂiː
