'day	ˈd a j
pikit	p i ˈk i t
pikon	p i ˈk o n
pikon	ˈp i k o n
pila	ˈp i l a
pila	ˈp i l a
pila	ˈp i l a
pila	p i ˈl a
pilak	ˈp i l a k
pilamento	p i l a ˈm e n t o
pilantik	p i l a n ˈt i k
pilantropo	p i ˈl a n t ɾ o p o
pilapil	p i ˈl a p i l
pilat	ˈp i l a t
pilay	ˈp i l a j
pilay	p i ˈl a j
pili	ˈp i l i
pili	ˈp i l i ʔ
Pili	ˈp i l i ʔ
pilibusterismo	p i l i b u s t e ˈɾ i s m o
pilibustero	p i l i b u s ˈt e ɾ o
pilik	p i ˈl i k
pilikmata	p i l i k m a ˈt a
piling	ˈp i l i ŋ
piling	p i ˈl i ŋ
Pilipina	p i l i ˈp i n a
Pilipinas	p i l i ˈp i n a s
Pilipinismo	p i l i p i ˈn i s m o
Pilipino	p i l i ˈp i n o
pilipit	p i ˈl i p i t
pilipit	p i l i ˈp i t
pilipot	p i ˈl i p o t
pilit	p i ˈl i t
pilok	p i ˈl o k
pilosopiya	p i l o s o ˈp i a
pilosopo	p i ˈl o s o p o
piloto	p i ˈl o t o
pilyo	ˈp i l j o
Pimentel	p i m e n ˈt e l
pinabubulaanan	p i n a b u b u l a ˈʔ a n a n
pinabulaanan	p i n a b u l a ˈʔ a n a n
pinagbabasehan	p i n a ɡ b a b a ˈs e h a n
pinagbasehan	p i n a ɡ b a ˈs e h a n
Pinagbuhatan	p i n a ɡ b u ˈh a t a n
pinaghihinalaan	p i n a ɡ h i h i n a ˈl a ʔ a n
Pinagkaisahan	p i n a ɡ k a ʔ i s a ˈh a n
pinagong	p i n a ˈɡ o ŋ
Pinagsama	p i ˌn a ɡ ˈs a m a
pinagsamantalahan	p i n a ɡ s a m a n t a l a ˈh a n
pinagsasamantalahan	p i n a ɡ s a s a m a n t a l a ˈh a n
pinagtaluhan	p i ˌn a ɡ t a ˈl u h a n
pinagtalunan	p i ˌn a ɡ t a ˈl u n a n
pinagtalunan	p i ˌn a ɡ t a l u ˈn a n
pinagtataluhan	p i n a ɡ t a t a ˈl u h a n
pinagtatalunan	p i n a ɡ t a t a ˈl u n a n
pinagtatalunan	p i n a ɡ t a t a l u ˈn a n
pinagtatawanan	p i n a ɡ t a t a w a ˈn a n
pinagtawanan	p i n a ɡ t a w a ˈn a n
Pinagtipunan	p i n a ɡ t i ˈp u n a n
pinakamagulo	p i n a k a m a ɡ u ˈl o
pinakamalaki	p i n a k a m a l a ˈk i
pinalalayas	p i n a l a ˈl a j a s
pinalayas	p i n a ˈl a j a s
pinaletadahan	p i n a l e t a ˈd a h a n
pinalitadahan	p i n a l i t a ˈd a h a n
Pinamalayan	p i n a m a l a ˈj a n
pinansiyal	p i ˌn a n s i ˈa l
pinapagtaluhan	p i ˌn a p a ɡ t a ˈl u h a n
pinapagtalunan	p i ˌn a p a ɡ t a ˈl u n a n
pinapagtalunan	p i ˌn a p a ɡ t a l u ˈn a n
pinapagtawanan	p i ˌn a p a ɡ t a w a ˈn a n
pinapalayas	p i n a p a ˈl a j a s
pinapaletadahan	p i n a p a l e t a ˈd a h a n
pinapalitadahan	p i n a p a l i t a ˈd a h a n
pinapasyalan	p i ˌn a p a s j a ˈl a n
Pinas	p i ˈn a s
pinasyalan	p i n a s j a ˈl a n
Pinay	p i ˈn a j
pindot	p i n ˈd o t
pindutan	p i n ˈd u t a n
Pineda	p i ˈn e d a
pinid	ˈp i n i d
pinid	p i ˈn i d
piniga	p i n i ˈɡ a ʔ
pinipig	p i ˈn i p i ɡ
pinipiga	p i n i p i ˈɡ a ʔ
pinipirmahan	p i n i p i ɾ m a ˈh a n
pinirmahan	p i n i ɾ m a ˈh a n
Pinky	ˈp i n k i
Pinlac	ˈp i n l a k
Pinlandiya	p i n ˈl a n d i a
pino	ˈp i n o
Pinoy	p i ˈn o j
pinsala	p i n ˈs a l a ʔ
pinsala	p i n s a ˈl a ʔ
pinsan	ˈp i n s a n
pinse	p i n ˈs e
pinta	p i n ˈt a
pinta	ˈp i n t a
pintakasi	p i n t a ˈk a s i
pintig	p i n ˈt i ɡ
pinto	p i n ˈt o ʔ
pintor	p i n ˈt o ɾ
pintuan	p i n ˈt u ʔ a n
pinuno	p i ˈn u n o ʔ
pinuntahan	p i n u n t a ˈh a n
pinupuntahan	p i n u p u n t a ˈh a n
pinya	p i n ˈj a
pinya	ˈp i n j a
Piñol	p i ˈɲ o l
Piñon	p i ˈɲ o n
pinggan	p i ŋ ˈɡ a n
pipi	ˈp i p i
pipi	ˈp i p i ʔ
pipi	p i ˈp i ʔ
pipi	ˈp i p i ʔ
pipi	p i ˈp i ʔ
pipi	ˈp i p i
pipi	p i ˈp i
pipi	ˈp i p i ʔ
pipi	ˈp i p i ʔ
pipi	ˈp i p i
pipi	ˈp i p i ʔ
pipi	ˈp i p i ʔ
pipigain	p i p i ɡ a ˈʔ i n
pipino	p i ˈp i n o
pipirmahan	p i p i ɾ m a ˈh a n
pirali	p i ɾ a ˈl i ʔ
piranggot	p i ɾ a ŋ ˈɡ o t
piraso	p i ˈɾ a s o
pirata	p i ˈɾ a t a
piring	p i ˈɾ i ŋ
pirit	ˈp i ɾ i t
pirma	p i ɾ ˈm a
pirmahan	p i ɾ m a ˈh a n
pirme	p i ɾ ˈm e
pirot	ˈp i ɾ o t
pirurutong	p i ɾ u ˈɾ u t o ŋ
pisan	ˈp i s a n
pisan	p i ˈs a n
pisara	p i ˈs a ɾ a
pisaw	p i ˈs a w
piseta	p i ˈs e t a
pisi	ˈp i s i ʔ
pisika	ˈp i s i k a
pisikal	ˈp i s i k a l
pisikalan	ˌp i s i ˈk a l a n
pisil	p i ˈs i l
Pisis	ˈp i s i s
piskal	p i s ˈk a l
piskalya	p i s k a l ˈj a
piskalya	p i s ˈk a l j a
pisngi	p i s ˈŋ i
piso	ˈp i s o
pison	p i ˈs o n
pisot	p i ˈs o t
pispis	p i s ˈp i s
pista	p i s ˈt a
pista	p i s ˈt a ʔ
pista	p i s ˈt a ʔ
pistola	p i s ˈt o l a
pita	ˈp i t a
pita	p i ˈt a ʔ
pitaka	p i ˈt a k a ʔ
pitik	p i ˈt i k
pitik	ˈp i t i k
pitis	ˈp i t i s
pitis	p i ˈt i s
pito	p i ˈt o
pito	ˈp i t o
pitogo	p i ˈt o ɡ o
Pitogo	p i ˈt o ɡ o
Pitoy	p i ˈt o j
pitpit	p i t ˈp i t
pitsel	p i ˈt͡ʃ e l
pitso	p i ˈt͡ʃ o
pitugo	p i ˈt u ɡ o
pitulon	p i t u ˈl o n
pitumbuko	p i t u m b u ˈk o
pitumpu	p i t u m ˈp u ʔ
pitundaan	p i t u n d a ˈʔ a n
piyano	p i ˈa n o
piyansa	p i ˈa n s a
piyaya	p i ˈa j a
piyesa	p i ˈe s a
piyesta	p i ˈe s t a
piyo	p i ˈo ʔ
piyon	p i ˈo n
piyot	p i ˈo t
piyudalismo	p i u d a ˈl i s m o
Pizarro	p i ˈz a r o
Pizarro	p i ˈs a ɾ o
plais	ˈp l a j s
plaka	ˈp l a k a
plakard	ˈp l a k a ɾ d
Planas	ˈp l a n a s
planeta	p l a ˈn e t a
planetaryum	p l a n e ˈt a ɾ j u m
plano	ˈp l a n o
planta	ˈp l a n t a
plantita	p l a n ˈt i t a
plantito	p l a n ˈt i t o
plantsa	ˈp l a n t͡ʃ a
plantsado	p l a n ˈt͡ʃ a d o
plapla	ˈp l a p l a
Plaridel	ˌp l a ɾ i ˈd e l
plasa	ˈp l a s a
plaslayt	ˈp l a s l a j t
plastik	ˈp l a s t i k
plat	ˈp l a t
plata	ˈp l a t a
platito	p l a ˈt i t o
plato	ˈp l a t o
Platon	p l a ˈt o n
platon	p l a ˈt o n
plawta	ˈp l a w t a
playwud	ˈp l a j w u d
plebisito	p l e b i ˈs i t o
plektro	ˈp l e k t ɾ o
plete	ˈp l e t e
pliyeges	p l i ˈe ɡ e s
plorera	p l o ˈɾ e ɾ a
plukurarol	p l u k u ˈɾ a ɾ o l
pluma	ˈp l u m a
plumahe	p l u ˈm a h e
pluralismo	p l u ɾ a ˈl i s m o
plutokrasya	p l u t o ˈk ɾ a s j a
po	ˈp o ʔ
Po	ˈp o
Poblete	p o b ˈl e t e
pobre	ˈp o b ɾ e
Pobre	ˈp o b ɾ e
poder	p o ˈd e ɾ
pogi	ˈp o ɡ i ʔ
poka	ˈp o k a
poknat	ˈp o k n a t
pokpok	ˈp o k p o k
Polanco	p o ˈl a n k o
polaynas	p o ˈl a j n a s
polbo	ˈp o l b o
polboron	p o l b o ˈɾ o n
Poleng	p o ˈl e ŋ
Policarpio	p o l i ˈk a ɾ p j o
Polintan	p o l i n ˈt a n
politeismo	p o l i t e ˈi s m o
politika	p o ˈl i t i k a
politikal	p o l i t i ˈk a l
politikal	p o ˈl i t i k a l
politiko	p o ˈl i t i k o
polo	ˈp o l o
polo	ˈp o l o
polo	p o ˈl o ʔ
polo	p o ˈl o ʔ
polonchay	ˈp o l o n t͡ʃ a j
Polonya	p o ˈl o n j a
polusyon	p o l u s ˈj o n
polyeto	p o l ˈj e t o
pomelo	p o ˈm e l o
Ponching	ˈp o n t͡ʃ i ŋ
ponda	ˈp o n d a
pondo	ˈp o n d o
pondohan	p o n d o ˈh a n
ponema	p o ˈn e m a
ponkan	ˈp o n k a n
pontempen	ˈp o n t e m p e n
pong	ˈp o ŋ
pongkan	ˈp o ŋ k a n
pook	p o ˈʔ o k
pook	ˈp o ʔ o k
poon	p o ˈʔ o n
poon	ˈp o ʔ o n
Poon	ˈp u n
popular	p o p u ˈl a ɾ
populasyon	p o p u l a s ˈj o n
Poquiz	ˈp o k i s
por	ˈp o ɾ
Porac	ˈp o ɾ a k
porendyer	ˈp o ɾ e n d j e ɾ
porke	ˈp o ɾ k e
porket	ˈp o ɾ k e t
porma	ˈp o ɾ m a
pornada	p o ɾ ˈn a d a
pornograpiya	p o ɾ n o ɡ ɾ a ˈp i a
porsiyento	p o ɾ s i ˈe n t o
porsyento	p o ɾ s ˈj e n t o
portabol	ˈp o ɾ t a b o l
portamoneda	p o ɾ t a m o ˈn e d a
portpolyo	p o ɾ t ˈp o l j o
Portugal	p o ɾ t u ˈɡ a l
Portuges	p o ɾ t u ˈɡ e s
Portugesa	p o ɾ t u ˈɡ e s a
Posadas	p o ˈs a d a s
posas	ˈp o s a s
posisyon	p o s i s ˈj o n
positibismo	p o s i t i ˈb i s m o
positibo	p o s i ˈt i b o
poso	ˈp o s o
posporo	ˈp o s p o ɾ o
poste	ˈp o s t e
poster	ˈp o s t e ɾ
postura	p o s ˈt u ɾ a
potahe	p o ˈt a h e
potensiyal	p o t e n s i ˈa l
potostat	ˌp o t o s ˈt a t
Prado	ˈp ɾ a d o
prak	ˈp ɾ a k
praksis	ˈp ɾ a k s i s
praktika	ˈp ɾ a k t i k a
praktikal	p ɾ a k t i ˈk a l
praktikalidad	p ɾ a k t i k a l i ˈd a d
praktiko	ˈp ɾ a k t i k o
praktis	ˈp ɾ a k t i s
praktisado	p ɾ a k t i ˈs a d o
praning	p ɾ a ˈn i ŋ
Pranses	p ɾ a n ˈs e s
Pransesa	p ɾ a n ˈs e s a
Pransiya	ˈp ɾ a n s j a
Pransya	ˈp ɾ a n s j a
prangka	ˈp ɾ a ŋ k a
prangkisa	p ɾ a ŋ ˈk i s a
prangko	ˈp ɾ a ŋ k o
prayoridad	p ɾ a j o ɾ i ˈd a d
prebensiyon	p ɾ e b e n s i ˈo n
prediksiyon	p ɾ e d i k s i ˈo n
premyo	ˈp ɾ e m j o
preno	ˈp ɾ e n o
preparasyon	p ɾ e p a ɾ a s ˈj o n
presensiya	p ɾ e ˈs e n s j a
presidente	p ɾ e s i ˈd e n t e
presinto	p ɾ e ˈs i n t o
presko	ˈp ɾ e s k o
preso	ˈp ɾ e s o
prestihiyoso	p ɾ e s t i h i ˈo s o
presupuwesto	p ɾ e s u p u ˈe s t o
presyo	ˈp ɾ e s j o
presyon	p ɾ e s ˈj o n
presyur	ˈp ɾ e s j u ɾ
pribado	p ɾ i ˈb a d o
pribilehiyo	p ɾ i b i ˈl e h i o
Prieto	p ɾ i ˈe t o
primarya	p ɾ i ˈm a ɾ j a
Primitivo	p ɾ i m i ˈt i v o
Primitivo	p ɾ i m i ˈt i b o
primo	ˈp ɾ i m o
Prince	ˈp ɾ i n s
Princess	ˈp ɾ i n s e s
prinsa	ˈp ɾ i n s a
prinsa	ˈp ɾ i n s a
prinsesa	p ɾ i n ˈs e s a
prinsipe	ˈp ɾ i n s i p e
prinsipyo	p ɾ i n ˈs i p j o
probetso	p ɾ o ˈb e t͡ʃ o
probinsiya	p ɾ o ˈb i n s j a
probinsiyana	p ɾ o b i n s i ˈa n a
probinsiyano	p ɾ o b i n s i ˈa n o
problema	p ɾ o b ˈl e m a
problemado	p ɾ o b l e ˈm a d o
produkto	p ɾ o ˈd u k t o
proklamasyon	p ɾ o k l a m a s ˈj o n
promdi	ˈp ɾ o m d i
propagandista	p ɾ o p a ɡ a n ˈd i s t a
propesiya	p ɾ o p e ˈs i a
propesor	p ɾ o p e ˈs o ɾ
propesora	p ɾ o p e ˈs o ɾ a
propesyon	p ɾ o p e s ˈj o n
propesyonal	p ɾ o p e s j o ˈn a l
propesyonalismo	p ɾ o p e s j o n a ˈl i s m o
prostitusyon	p ɾ o s t i t u s ˈj o n
prostituta	p ɾ o s t i ˈt u t a
proteksiyonismo	p ɾ o t e k s i o ˈn i s m o
protekta	p ɾ o ˈt e k t a
protina	p ɾ o ˈt i n a
proyekto	p ɾ o ˈj e k t o
Prudente	p ɾ u ˈd e n t e
prusisyon	p ɾ u s i s ˈj o n
prutas	ˈp ɾ u t a s
pruweba	p ɾ u ˈe b a
pu	ˈp u ʔ
Pua	ˈp u a
Pua	ˈp w a
publikasyon	p u b l i k a s ˈj o n
publiko	ˈp u b l i k o
puday	p u ˈd a j
puding	ˈp u d i ŋ
pudpod	p u d ˈp o d
Pueson	p u ˈe s o n
puga	p u ˈɡ a
puga	ˈp u ɡ a
pugad	ˈp u ɡ a d
pugante	p u ˈɡ a n t e
pugita	p u ˈɡ i t a
pugo	ˈp u ɡ o ʔ
pugok	p u ˈɡ o k
pugon	p u ˈɡ o n
pugot	p u ˈɡ o t
pugutan	p u ˈɡ u t a n
puhag	ˈp u h a ɡ
puhag	p u ˈh a ɡ
puhunan	p u ˈh u n a n
Puig	ˈp u t͡ʃ
puka	p u ˈk a ʔ
pukaw	ˈp u k a w
puke	ˈp u k e
puke	ˈp u k e ʔ
puki	ˈp u k i
puki	ˈp u k i ʔ
pukot	ˈp u k o t
puksa	p u k ˈs a ʔ
pukyutan	p u k ˈj u t a n
pula	p u ˈl a
pula	ˈp u l a ʔ
pulahan	p u l a ˈh a n
pulamulderiyos	p u l a ˌm u l d e ɾ i ˈo s
pulbos	p u l ˈb o s
pulbura	p u l b u ˈɾ a
pulburon	p u l b u ˈɾ o n
pulgada	p u l ˈɡ a d a
pulgas	p u l ˈɡ a s
pulido	p u ˈl i d o
Pulido	p u ˈl i d o
pulikat	p u ˈl i k a t
pulis	p u ˈl i s
pulisya	p u ˈl i s j a
pulmon	p u l ˈm o n
pulmonya	p u l m o n ˈj a
pulo	p u ˈl o ʔ
pulo	ˈp u l o ʔ
pulong	ˈp u l o ŋ
pulot	ˈp u l o t
pulot	p u ˈl o t
pulpito	ˈp u l p i t o
pulpol	p u l ˈp o l
pulseras	p u l ˈs e ɾ a s
pulso	ˈp u l s o
pultaon	p u l t a ˈʔ o n
pulubi	p u ˈl u b i
pulumasi	p u l u ˈm a s i
pulupito	p u ˈl u p i t o
pulupot	p u ˈl u p o t
pulutan	p u ˈl u t a n
pulutong	p u l u ˈt o ŋ
pumalakpak	p u m a l a k ˈp a k
pumalaot	p u m a ˈl a ʔ o t
pumanaw	p u ˈm a n a w
pumanig	p u ˈm a n i ɡ
pumanghaw	p u m a ŋ ˈh a w
pumarada	p u m a ˈɾ a d a
pumaroon	p u m a ɾ o ˈʔ o n
pumaroon	p u m a ˈɾ o n
pumasok	p u ˈm a s o k
pumatay	p u m a ˈt a j
pumayag	p u ˈm a j a ɡ
pumila	p u ˈm i l a
pumisik	p u m i ˈs i k
pumula	p u m u ˈl a
pumulupot	p u m u ˈl u p o t
pumunta	p u m u n ˈt a
pumuti	p u m u ˈt i ʔ
pumuti	p u ˈm u t i
pumutok	p u m u ˈt o k
puna	p u ˈn a
pundasyon	p u n d a s ˈj o n
pundi	p u n ˈd i
pundido	p u n ˈd i d o
punerarya	p u n e ˈɾ a ɾ j a
punit	p u ˈn i t
punit	ˈp u n i t
punla	p u n ˈl a ʔ
punlay	p u n ˈl a j
puno	p u ˈn o ʔ
puno	ˈp u n o ʔ
Puno	ˈp u n o ʔ
Punongbayan	ˌp u n o ŋ ˈb a j a n
punongkahoy	ˌp u n o ŋ ˈk a h o j
punso	p u n ˈs o
punso	p u n ˈs o ʔ
punsoy	p u n ˈs o j
punta	p u n ˈt a
punta	ˈp u n t a
punta	p u n ˈt a ʔ
puntahan	p u n t a ˈh a n
punterya	p u n t e ɾ ˈj a
puntirya	p u n t i ɾ ˈj a
punto	ˈp u n t o
punto	p u n ˈt o
puntod	p u n ˈt o d
punyal	p u n ˈj a l
punyeta	p u n ˈj e t a
Punzalan	p u n z a ˈl a n
Punzalan	p u n s a ˈl a n
pungol	p u ˈŋ o l
pungsoy	p u ŋ ˈs o j
puo	ˈp u ʔ o ʔ
puo	p u ˈʔ o ʔ
pupo	ˈp u p o ʔ
pupo	p u ˈp o ʔ
pupu	ˈp u p u ʔ
pupuntahan	p u p u n t a ˈh a n
purga	p u ɾ ˈɡ a
purgatoryo	p u ɾ ɡ a ˈt o ɾ j o
puri	ˈp u ɾ i
Purificacion	p u ɾ i f i k a s ˈj o n
Purificacion	p u ɾ i p i k a s ˈj o n
Puring	p u ˈɾ i ŋ
puro	ˈp u ɾ o
purok	p u ˈɾ o k
purol	p u ˈɾ o l
pursigi	p u ɾ s i ˈɡ i
pursigido	p u ɾ s i ˈɡ i d o
pusa	ˈp u s a ʔ
pusa	p u ˈs a ʔ
pusakal	p u s a ˈk a l
pusaw	p u ˈs a w
pusit	p u ˈs i t
puslit	p u s ˈl i t
puso	ˈp u s o ʔ
pusod	ˈp u s o d
pusod	ˈp u s o d
puson	p u ˈs o n
pusong	ˈp u s o ŋ
pusong	p u ˈs o ŋ
pusoy	p u ˈs o j
pusta	p u s ˈt a
pustahan	p u s ˈt a h a n
pustiso	p u s ˈt i s o
pustura	p u s ˈt u ɾ a
pusyaw	p u s ˈj a w
puta	ˈp u t a
putak	p u ˈt a k
putakti	p u t a k ˈt i
putbol	ˈp u t b o l
puthaw	p u t ˈh a w
puti	p u ˈt i ʔ
puti	ˈp u t i
Puti	p u ˈt i ʔ
putik	ˈp u t i k
putla	p u t ˈl a ʔ
puto	ˈp u t o
putok	p u ˈt o k
putol	ˈp u t o l
putol	p u ˈt o l
putong	ˈp u t o ŋ
putot	p u ˈt o t
putot	ˈp u t o t
putragis	ˌp u t ɾ a ˈɡ i s
putsa	ˈp u t͡ʃ a ʔ
putspa	ˈp u t s p a
putukan	p u ˈt u k a n
putukan	p u t u ˈk a n
putulan	p u ˈt u l a n
putulin	p u ˈt u l i n
putulin	p u t u ˈl i n
pututan	p u ˈt u t a n
puwa	ˈp u a
puwas	p u ˈa s
puwede	p u ˈe d e
puwego	p u ˈe ɡ o
puwente	p u ˈe n t e
puwente	p u ˈe n t e
puwersa	p u ˈe ɾ s a
puwerta	p u ˈe ɾ t a
puwes	p u ˈe s
puwet	p u ˈe t
puwing	p u ˈi ŋ
puwit	p u ˈi t
puwit	p u ˈe t
puwo	ˈp u o ʔ
puyat	ˈp u j a t
puyat	p u ˈj a t
puyod	p u ˈj o d
pwente	ˈp w e n t e
pwera	ˈp w e ɾ a
q	ˈk j u
q	ˈk u
q	k
q	k w
Q	ˈk j u
Q	ˈk u
Q	k
Q	k w
Que	ˈk e
Queenie	ˈk w i n i
Querubin	k e ɾ u ˈb i n
Quezon	ˈk e s o n
Quezonin	k e ˈs o n i n
Quiambao	k i a m ˈb a w
Quiapo	k i ˈa p o ʔ
Quijano	k i ˈh a n o
Quimpo	ˈk i m p o
Quimson	ˈk i m s o n
Quintos	ˈk i n t o s
Quiñones	k i ˈɲ o n e s
Quirante	k i ˈɾ a n t e
Quirino	k i ˈɾ i n o
Quisumbing	k i s u m ˈb i ŋ
Quitain	k i ˈt a ʔ i n
r	ʔ a ɾ
r	ɾ a
r	ˈʔ e ɾ e
r	ɾ
R	ʔ a ɾ
R	ɾ a
R	ˈʔ e ɾ e
R	ɾ
ra	ɾ a
raan	ˈɾ a ʔ a n
raan	ɾ a ˈʔ a n
raan	ɾ a ˈʔ a n
raan	ˈɾ a ʔ a n
rabi	ɾ a ˈb i
rabis	ˈɾ a b i s
rabya	ˈɾ a b j a
Racelis	ɾ a ˈs e l i s
radar	ɾ a ˈd a ɾ
radikal	ɾ a d i ˈk a l
radikalismo	ɾ a d i k a ˈl i s m o
Radoc	ˈɾ a d o k
radyador	ɾ a d j a ˈd o ɾ
radyasyon	ɾ a d j a s ˈj o n
radyo	ˈɾ a d j o
radyolohiya	ɾ a d j o l o ˈh i a
Ragas	ˈɾ a ɡ a s
Ragasa	ɾ a ˈɡ a s a
ragasa	ɾ a ɡ a ˈs a ʔ
ragat	ˈɾ a ɡ a t
ragsak	ɾ a ɡ ˈs a k
Ragudo	ɾ a ˈɡ u d o
raha	ˈɾ a h a
raha	ɾ a ˈh a
Raha	ˈɾ a h a
rahuyo	ɾ a ˈh u j o ʔ
Rajah	ˈɾ a h a
raket	ˈɾ a k e t
raketa	ɾ a ˈk e t a
raketera	ɾ a k e ˈt e ɾ a
raketero	ɾ a k e ˈt e ɾ o
raketir	ˌɾ a k e ˈt i ɾ
rakista	ɾ a ˈk i s t a
rakitis	ɾ a ˈk i t i s
rali	ˈɾ a l i
raliyista	ɾ a l i ˈj i s t a
Ramadan	ɾ a m a ˈd a n
rambol	ˈɾ a m b o l
rambulan	ɾ a m ˈb u l a n
rambutan	ɾ a m b u ˈt a n
ramdam	ɾ a m ˈd a m
ramen	ˈɾ a m e n
Ramirez	ɾ a ˈm i ɾ e s
Ramiscal	ɾ a m i s ˈk a l
Ramon	ɾ a ˈm o n
Ramos	ˈɾ a m o s
rampa	ˈɾ a m p a
Ranada	ɾ a ˈn a d a
rantso	ˈɾ a n t͡ʃ o
ranggo	ˈɾ a ŋ ɡ o
rangya	ɾ a ŋ ˈj a ʔ
rapsodya	ɾ a p ˈs o d j a
rasa	ˈɾ a s a
rasal	ɾ a ˈs a l
rason	ɾ a ˈs o n
rasonable	ɾ a s o ˈn a b l e
raspa	ˈɾ a s p a
raspa	ɾ a s ˈp a
rasyon	ɾ a s ˈj o n
rasyonal	ɾ a s j o ˈn a l
rasyonalidad	ɾ a s j o n a l i ˈd a d
rasyonalismo	ɾ a s j o n a ˈl i s m o
rasyonalista	ɾ a s j o n a ˈl i s t a
ratiles	ˌɾ a t i ˈl e s
ratipika	ɾ a t i p i ˈk a
ratipikado	ɾ a t i p i ˈk a d o
ratipikasyon	ɾ a t i p i k a s ˈj o n
ratrat	ɾ a t ˈɾ a t
ratratin	ɾ a t ɾ a ˈt i n
raw	ˈɾ a w
rayadilyo	ɾ a j a ˈd i l j o
rayama	ɾ a ˈj a m a
rayos	ˈɾ a j o s
Rayos	ˈɾ a j o s
rayuma	ɾ a ˈj u m a
Razon	ɾ a ˈz o n
Razon	ɾ a ˈs o n
reaksiyon	ɾ e ʔ a k s i ˈo n
reaksiyonaryo	ɾ e ʔ a k s i o ˈn a ɾ j o
reaksyon	ɾ e ʔ a k s ˈj o n
real	ɾ e ˈa l
realidad	ɾ e a l i ˈd a d
Realingo	ɾ e a ˈl i ŋ ɡ o
realismo	ɾ e a ˈl i s m o
realista	ɾ e a ˈl i s t a
realistiko	ɾ e a ˌl i s t i ˈk o
Reanzares	ɾ e a n ˈz a ɾ e s
Reaño	ɾ e ˈʔ a n j o
Rebanal	ɾ e b a ˈn a l
rebelasyon	ɾ e b e l a s ˈj o n
rebelde	ɾ e ˈb e l d e
rebelyon	ɾ e b e l ˈj o n
rebentador	ɾ e b e n t a ˈd o ɾ
reberendo	ɾ e b e ˈɾ e n d o
reberensiya	ɾ e b e ˈɾ e n s j a
rebisa	ɾ e b i ˈs a
rebisado	ɾ e b i ˈs a d o
rebisyon	ɾ e b i s ˈj o n
rebokada	ɾ e b o ˈk a d a
rebokasyon	ɾ e b o k a s ˈj o n
rebolber	ɾ e ˈb o l b e ɾ
rebolusyon	ɾ e b o l u s ˈj o n
rebolusyonaryo	ɾ e b o l u s j o ˈn a ɾ j o
rebolusyonista	ɾ e b o l u s j o ˈn i s t a
rebulto	ɾ e ˈb u l t o
rebyu	ɾ e b ˈj u
rebyuhin	ɾ e b j u ˈh i n
Recalde	ɾ e ˈk a l d e
Recio	ˈɾ e s j o
Recto	ˈɾ e k t o
Reculado	ɾ e k u ˈl a d o
redaksiyon	ɾ e d a k s i ˈo n
Redondo	ɾ e ˈd o n d o
reduksiyon	ɾ e d u k s i ˈo n
reduplikasyon	ɾ e d u p l i k a s ˈj o n
reeleksiyon	ɾ e ʔ e l e k s i ˈo n
reengkarnasyon	ɾ e ʔ e ŋ k a ɾ n a s ˈj o n
Regala	ɾ e ˈɡ a l a
regalo	ɾ e ˈɡ a l o
Regidor	ɾ e h i ˈd o ɾ
regla	ˈɾ e ɡ l a
reglamento	ɾ e ɡ l a ˈm e n t o
regular	ɾ e ɡ u ˈl a ɾ
regularidad	ɾ e ɡ u l a ɾ i ˈd a d
regulasyon	ɾ e ɡ u l a s ˈj o n
rehabilitasyon	ɾ e h a b i l i t a s ˈj o n
rehas	ˈɾ e h a s
rehente	ɾ e ˈh e n t e
rehimen	ɾ e h i ˈm e n
rehimyento	ɾ e h i m ˈj e n t o
rehistrado	ɾ e h i s ˈt ɾ a d o
rehistrador	ɾ e h i s t ɾ a ˈd o ɾ
rehistrasyon	ɾ e h i s t ɾ a s ˈj o n
rehistro	ɾ e ˈh i s t ɾ o
rehiyon	ɾ e h i ˈo n
rehiyonal	ɾ e h i o ˈn a l
rehiyonalismo	ɾ e h i o n a ˈl i s m o
rehiyonalista	ɾ e h i o n a ˈl i s t a
rekado	ɾ e ˈk a d o
rekargo	ɾ e ˈk a ɾ ɡ o
rekisa	ɾ e ˈk i s a
rekisisyon	ɾ e k i s i s ˈj o n
rekisito	ɾ e k i ˈs i t o
rekisitos	ɾ e k i ˈs i t o s
reklamador	ɾ e k l a m a ˈd o ɾ
reklamadora	ɾ e k l a m a ˈd o ɾ a
reklamasyon	ɾ e k l a m a s ˈj o n
reklamo	ɾ e k ˈl a m o
reklasipikasyon	ɾ e k l a s i p i k a s ˈj o n
rekluta	ɾ e k ˈl u t a
rekoleksiyon	ɾ e k o l e k s i ˈo n
Rekoleto	ɾ e k o ˈl e t o
rekomenda	ɾ e k o m e n ˈd a
rekomendasyon	ɾ e k o m e n d a s ˈj o n
rekonsiderasyon	ɾ e k o n s i d e ɾ a s ˈj o n
rekonsilyasyon	ɾ e k o n s i l j a s ˈj o n
rekonstruksiyon	ɾ e k o n s t ɾ u k s i ˈo n
rekording	ɾ e ˈk o ɾ d i ŋ
rektanggulo	ɾ e k ˈt a ŋ ɡ u l o
rektipikasyon	ɾ e k t i p i k a s ˈj o n
rektor	ɾ e k ˈt o ɾ
Relampagos	ɾ e ˈl a m p a ɡ o s
Relampagos	ˌɾ e l a m ˈp a ɡ o s
relasyon	ɾ e l a s ˈj o n
relatibismo	ɾ e l a t i ˈb i s m o
relebo	ɾ e ˈl e b o
relebo	ɾ e l ˈj e b o
